project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun_percentage,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk
,INSTALLATION OF 45MVA SAF T WITH OTHER ASSOCIATED,Steel,Not reported,2013,2016-11-30,187.33,183.07,-10.975075893197237,-2.274061816046559,-8.701014077150678,195.2048701298702,1156,-960.7951298701298,1,1
,SUB-STATION EXT. WORKS ASSOCIATED WITH TRANS. SYSTEM,Part-B                        (Power Grid Corporation Of,Not reported,2015,2016-11-30,167.4,121.3,-26.753470606571106,-27.53882915173238,0.785358545161273,219.13651515151523,365,-145.86348484848477,1,1
,TR. SYS. FOR PHASE-I PROJ. IN JHARKHAN AND WEST BENGAL,Power,Not reported,2014,2016-11-30,3201.44,3500.21,-19.893291791496207,9.332362936678495,-29.225654728174703,462.01336743234157,791,-328.98663256765843,0,1
,2 LANNING OF MOKAMA-MUNGER 351.54 351.54 05/2013 03/,Nhai,Not reported,2016,2016-12-31,2016.0,1.0,-99.64105428624313,-99.95039682539682,0.3093425391536897,0.0,274,-274.0,0,1
,2 LANNING OF MUZAFFARPUR - SONBARSA 511.54 511.54 11/2013 03/,Nhai,Not reported,2016,2016-12-31,2016.0,3.0,-99.64105428624313,-99.85119047619048,0.21013618994734884,0.0,213,-213.0,0,1
,2-LANNING WITH PS KHAGARIA-PURNEA 664.00 664.00 02/2014 03/,Nhai,Not reported,2016,2016-12-31,2016.0,3.0,-99.64105428624313,-99.85119047619048,0.21013618994734884,0.0,213,-213.0,0,1
,2-LANNING WITH PS MOTIHARI-RAXAUL 375.09 375.09 04/2014 03/,Nhai,Not reported,2016,2016-12-31,2016.0,9.0,-99.64105428624313,-99.55357142857143,-0.08748285767170216,0.0,30,-30.0,0,0
,2000 BOYS HOSTEL(1000 DOUNLE BEDDED 171.86 171.86 03/2016 05/,For Iim                          Cpwd,Not reported,2017,2016-12-31,2017.0,4.0,-98.79241502012384,-99.80168567178978,1.0092706516659433,0.0,0,0.0,0,0
,4 LANING OF AMBALA - KAITHAL - PACKAGE -1 602.95 602.95 06/2016 06/,Nhai,Not reported,2018,2016-12-31,2016.0,24.0,-97.99953032720067,-98.80952380952381,0.8099934823231365,0.0,0,0.0,0,0
,4 LANING OF GOMTI CHAURAHA - UDAIPUR 914.50 914.50 10/2015 02/,Nhai,Not reported,2016,2016-12-31,2016.0,1.0,-99.64105428624313,-99.95039682539682,0.3093425391536897,0.0,305,-305.0,0,1
,"AGRA-BYPASS(NS-1/UP-1), NH-2,3 348.16 348.16 09/2007 03/",Nhai,Not reported,2016,2016-12-31,2016.0,3.0,-99.64105428624313,-99.85119047619048,0.21013618994734884,0.0,213,-213.0,0,1
,"BEAWAR PALI PINDWARA 2,388.51 2,388.00 06/2014 03/",Nhai,Not reported,2016,2016-12-31,2016.0,3.0,-99.64105428624313,-99.85119047619048,0.21013618994734884,0.0,213,-213.0,0,1
,"COMMON SYSTEM ASSOCIATED WITH 1,940.13 1,940.13 09/2014 06/",Pgcil,Not reported,2016,2016-12-31,2016.0,3.0,-99.6987312048462,-99.85119047619048,0.15245927134428428,16.849608913813455,121,-104.15039108618654,0,1
,CONSTRUCTION AND DEVELOPMENT OF 2 OFFSHORE,Shipping And Ports,Not reported,2010,2016-12-31,1228.0,1038.0,-31.69875388692718,-15.472312703583063,-16.226441183344114,860.6682359307362,2222,-1361.331764069264,1,1
,CONSTRUCTION OF NISM CAMPUS AT 315.00 315.00 06/2015 10/,Urban Development,Not reported,2016,2016-12-31,2016.0,1.0,-99.68700351907616,-99.95039682539682,0.2633933063206655,0.0,60,-60.0,0,0
,"CONVERSION OF RIG SAGAR SAMRAT TO 861.79 1,256.72 05/2013 04/",Iocl,Not reported,2016,2016-12-31,2016.0,8.0,-99.68700351907616,-99.60317460317461,-0.08382891590154884,0.0,30,-30.0,0,0
,DELHI/ HARYANA BORDER TO ROHTAK 486.00 486.00 05/2010 02/,Nhai,Not reported,2016,2016-12-31,2016.0,4.0,-99.64105428624313,-99.8015873015873,0.1605330153441713,0.0,213,-213.0,0,1
,DEOLI-KOTA 593.00 593.00 07/2013 04/,Km)                            Nhai,Not reported,2016,2016-12-31,2016.0,8.0,-99.68700351907616,-99.60317460317461,-0.08382891590154884,0.0,30,-30.0,0,0
,DEVELOPMENT OF WESTERN PERIPHERY OF 600.17 600.17 12/2014 05/,Ongc,Not reported,2017,2016-12-31,2016.0,13.0,-98.79241502012384,-99.35515873015873,0.5627437100348942,0.0,0,0.0,0,0
,"EASTERN REGION STRENGTHENING SCHEME- 1,364.52 1,364.52 04/2016 06/",Pgcil,Not reported,2016,2016-12-31,2016.0,3.0,-99.6987312048462,-99.85119047619048,0.15245927134428428,16.849608913813455,121,-104.15039108618654,0,1
,"ENNORE MANALI EXPRESS WAY,F/O SPECIAL 150.00 600.00 03/2006 03/",Shipping And Ports,Not reported,2016,2016-12-31,2016.0,4.0,-99.68700351907616,-99.8015873015873,0.11458378251114709,0.0,183,-183.0,0,1
,FORBESGANJ TO SIMRAHI (NH-57)(NHAI) 332.94 332.94 09/2008 03/,Road Transport And Highways,Not reported,2016,2016-12-31,2016.0,1.0,-99.70080813183999,-99.95039682539682,0.24958869355683078,0.3409090909090909,274,-273.65909090909093,0,1
,FOUR LANNING OF LUDHIYANA- TALWANDI 479.00 479.00 N.A. 07/,Dorth,Not reported,2016,2016-12-31,2016.0,5.0,-99.68700351907616,-99.75198412698413,0.06498060790796956,0.0,30,-30.0,0,0
,"GURGAON - KOTPUTLI - JAIPUR (SIX LANE) 1,673.70 1,673.70 10/2011 01/",Nhai,Not reported,2016,2016-12-31,2016.0,5.0,-99.64105428624313,-99.75198412698413,0.11092984074099377,0.0,213,-213.0,0,1
,HARIDWAR DEHRADUN APPROVED LENGTH 478.51 478.00 10/2013 07/,Dorth,Not reported,2016,2016-12-31,2016.0,2.0,-99.68700351907616,-99.90079365079364,0.21379013171748795,0.0,121,-121.0,0,1
,"INTEGRATED DEVELOPMENT OF B-127 FIELDS 2,059.63 2,665.65 03/2015 05/",At Madhuban         Oil,Not reported,2017,2016-12-31,2016.0,13.0,-98.79241502012384,-99.35515873015873,0.5627437100348942,0.0,0,0.0,0,0
,JAIPUR-REENGUS 267.81 267.81 02/2013 03/,Nhai,Not reported,2016,2016-12-31,2016.0,1.0,-99.64105428624313,-99.95039682539682,0.3093425391536897,0.0,274,-274.0,0,1
,JHANJRA COMBINED PR(3.50 MTY) 602.86 602.86 03/2022 03/,Sccl,Not reported,2022,2016-12-31,2017.0,60.0,-98.00897382473681,-97.0252850768468,-0.9836887478900138,0.0,0,0.0,0,0
,KALYANIKHANI OPENCAST PROJECT 417.33 417.33 07/2016 03/,Ccl,Not reported,2019,2016-12-31,2017.0,24.0,-98.00897382473681,-98.81011403073872,0.8011402060019037,0.0,0,0.0,0,0
,KISHANGARH-AJMER-BEAWER 795.00 795.00 05/2012 03/,Nhai,Not reported,2016,2016-12-31,2016.0,1.0,-99.64105428624313,-99.95039682539682,0.3093425391536897,0.0,274,-274.0,0,1
,"KOTA BYPASS,RJ-4, NH-76 (NHAI) 275.00 250.39 10/2008 03/",Nhai,Not reported,2016,2016-12-31,2016.0,1.0,-99.64105428624313,-99.95039682539682,0.3093425391536897,0.0,274,-274.0,0,1
,KULDA OCP (MAHANADI COALFIELDS LTD) 302.96 302.96 03/2010 03/,Bccl,Not reported,2017,2016-12-31,2016.0,12.0,-98.79241502012384,-99.40476190476191,0.6123468846380717,0.0,0,0.0,0,0
,"MURADABAD-BAREILY 1,267.00 1,267.00 06/2013 03/",Nhai,Not reported,2016,2016-12-31,2016.0,3.0,-99.64105428624313,-99.85119047619048,0.21013618994734884,0.0,213,-213.0,0,1
,MURAIDIH UG TURN-KEY PROJECT 339.88 339.88 04/2014 03/,Nlc,Not reported,2016,2016-12-31,2016.0,3.0,-99.37745827914789,-99.85119047619048,0.47373219704259384,0.0,213,-213.0,0,1
,NALBARI TO BIJNI (AS-6) 225.00 225.00 06/2008 04/,Nhai,Not reported,2016,2016-12-31,2016.0,3.0,-99.64105428624313,-99.85119047619048,0.21013618994734884,0.0,183,-183.0,0,1
,"NORTHERN REGION SYSTEM 1,677.57 1,677.57 04/2013 03/",Pgcil,Not reported,2016,2016-12-31,2016.0,2.0,-99.6987312048462,-99.90079365079364,0.2020624459474476,16.849608913813455,244,-227.15039108618654,0,1
,NORTHERN REGION SYSTEM 410.29 410.29 02/2012 03/,Power,Not reported,2016,2016-12-31,2016.0,1.0,-98.64838107189294,-99.95039682539682,1.3020157535038805,46.21996753246754,274,-227.78003246753246,0,1
,NORTHERN REGION SYSTEM 524.40 524.40 05/2015 03/,Pgcil,Not reported,2016,2016-12-31,2016.0,3.0,-99.6987312048462,-99.85119047619048,0.15245927134428428,16.849608913813455,213,-196.15039108618654,0,1
,NORTHERN REGION TRANSMISSION 965.58 965.58 11/2012 03/,Pgcil,Not reported,2016,2016-12-31,2016.0,1.0,-99.6987312048462,-99.95039682539682,0.25166562055062514,16.849608913813455,274,-257.1503910861866,0,1
,"PANIPAT-JALANDHAR 6 LANE(KM 96 TO 387.1 1,108.00 2,288.00 11/2011 06/",Nhai,Not reported,2016,2016-12-31,2016.0,6.0,-99.64105428624313,-99.70238095238095,0.06132666613781623,0.0,30,-30.0,0,0
,PANVEL-INDAPUR 942.69 942.69 06/2014 03/,Nhai,Not reported,2016,2016-12-31,2016.0,9.0,-99.64105428624313,-99.55357142857143,-0.08748285767170216,0.0,30,-30.0,0,0
,PARADIP HALDIA DURGAPUR LPG PIPELINE 913.00 913.00 08/2015 12/,Isprl,Not reported,2017,2016-12-31,2016.0,3.0,-98.79241502012384,-99.85119047619048,1.0587754560666411,0.0,0,0.0,0,0
,"PARADIP REFINERY PROJECT 02/2009 29,777.00 11/2012",Petroleum,Not reported,2016,2016-12-31,34555.0,31427.9,-14.120652553473041,-9.049631023006796,-5.071021530466245,444.9573755411255,334,110.95737554112549,0,1
,PATNA-BAKTZARPUR KM.181.3 TO KM.231.95 574.00 574.00 03/2014 03/,Nhai,Not reported,2016,2016-12-31,2016.0,3.0,-99.64105428624313,-99.85119047619048,0.21013618994734884,0.0,213,-213.0,0,1
,"PIMPALGAON-NASIK-GONDE, NH-3 (NHDP- 940.00 940.00 07/2012 04/",Nhai,Not reported,2017,2016-12-31,2016.0,11.0,-98.78334467467457,-99.45436507936508,0.671020404690509,0.0,0,0.0,0,0
,"PIPELINE REPLACEMENT PROJECT, 202.25 160.16 07/2016 07/",Unit(Mops)             Ongc,Not reported,2017,2016-12-31,2016.0,9.0,-98.79241502012384,-99.55357142857143,0.7611564084475901,0.0,0,0.0,0,0
,PURNADIH OCP (3.0 MTY) 210.98 210.98 03/2013 03/,Sccl,Not reported,2017,2016-12-31,2016.0,12.0,-98.79241502012384,-99.40476190476191,0.6123468846380717,0.0,0,0.0,0,0
,RKP OCP PHASE-I 209.78 209.78 03/2015 03/,Mcl,Not reported,2017,2016-12-31,2016.0,12.0,-98.79241502012384,-99.40476190476191,0.6123468846380717,0.0,0,0.0,0,0
,ROHTAK-BAWAL 650.00 650.00 11/2013 03/,Nhai,Not reported,2016,2016-12-31,2016.0,3.0,-99.64105428624313,-99.85119047619048,0.21013618994734884,0.0,213,-213.0,0,1
,SAFDARJUNG HOSPITAL RE-DEVELOPMENT 444.70 444.70 12/2015 03/,Health And Family Welfare,Not reported,2016,2016-12-31,2016.0,3.0,-99.68700351907616,-99.85119047619048,0.16418695711432463,0.0,213,-213.0,0,1
,SECONDARY TANK FARM WITH DEHYDRATION 352.56 450.55 03/2017 03/,Ongc,Not reported,2018,2016-12-31,2017.0,12.0,-98.00897382473681,-99.40505701536935,1.3960831906325382,0.0,0,0.0,0,0
,STAGE I OF PHASE C/O PERMANENT CAMPUS 332.72 332.72 09/2016 09/,Maharastra             Cpwd,Not reported,2017,2016-12-31,2016.0,4.0,-98.79241502012384,-99.8015873015873,1.0091722814634636,0.0,0,0.0,0,0
,"STRATEGIC CRUDE OIL STORAGE PROJECT 732.00 1,227.00 10/2011 03/",Petroleum,Not reported,2016,2016-12-31,2016.0,1.0,-99.68700351907616,-99.95039682539682,0.2633933063206655,28.515194805194795,274,-245.4848051948052,0,1
,SYTEM STRENGTHENING OF SOUTHERN 297.33 346.79 08/2014 06/,Ntpc,Not reported,2017,2016-12-31,2016.0,9.0,-98.79241502012384,-99.55357142857143,0.7611564084475901,0.0,0,0.0,0,0
,"TAPOVAN-VISHNUGAD HEP (4X130MW) 2,978.48 3,846.30 03/2013 12/",V                            Pgcil,Not reported,2019,2016-12-31,2018.0,6.0,-96.24565035538755,-99.70267591674926,3.4570255613617036,3.359848484848485,0,3.359848484848485,0,0
,"TRANSMISSION SYSTEM ASSOCIATED WITH 1,575.30 1,575.30 05/2016 05/",Pgcil,Not reported,2016,2016-12-31,2016.0,1.0,-99.6987312048462,-99.95039682539682,0.25166562055062514,16.849608913813455,213,-196.15039108618654,0,1
,"TRANSMISSION SYSTEM ASSOCIATED WITH 1,927.16 1,940.58 10/2014 03/",Pgcil,Not reported,2016,2016-12-31,2016.0,1.0,-99.6987312048462,-99.95039682539682,0.25166562055062514,16.849608913813455,274,-257.1503910861866,0,1
,VKPL UPGRADATION AND LAYING OF SPURLINE (TO BHILWARA AND,Petroleum,Not reported,2011,2016-12-31,463.32,415.56,-23.279918939064352,-10.308210308210306,-12.971708630854046,527.4250144300145,2040,-1512.5749855699855,1,1
,CONSTRUCTION OF EXTENSION BUILDING TO PARLIAMENT HOUSE,Urban Development,Not reported,2013,2017-01-31,261.85,235.0,-19.72227238411965,-10.253962192094718,-9.46831019202493,275.35009740259744,1371,-1095.6499025974026,1,1
,WIDENING AND STRENGTHENING TO 2-LANE WITH PS OF NIMBI,Road Transport And Highways,Not reported,2016,2017-02-28,368.15,231.79,-30.194373376855456,-37.03925030558196,6.844876928726503,178.21486963793782,424,-245.78513036206218,1,1
,SUB-STATION WORKS ASSOCIATED WITH SYSTEM STRENGTHENING,Power,Not reported,2017,2017-04-30,972.42,92.2,-10.56301905848106,-90.51850023652331,79.95548117804225,339.52477272727265,0,339.52477272727265,1,0
,INSTALLATION OF DIESEL HYDROTREATMENT UNIT (DHT) AND,Petroleum,Not reported,2017,2017-09-30,1714.0,1067.89,-4.858124253380106,-37.69603267211201,32.83790841873191,109.35823593073594,121,-11.641764069264056,1,1
,WR-NR HVDC INTERCONNECTOR FOR IPP PROJECTS IN,Power,Not reported,2015,2017-09-30,9569.76,7311.17,-12.378568426618596,-23.60132333517246,11.222754908553863,492.2653442390942,852,-359.7346557609058,0,1
,CONSTRUCTION OF NISM CAMPUS AT PATALGANGA RASAYANI,Urban Development,Not reported,2015,2017-10-31,315.0,302.82,-19.752690042267076,-3.866666666666669,-15.886023375600407,264.2336845730028,883,-618.7663154269972,1,1
,INSTALLATION OF DEMONSTRATION UNIT OF INDA DEPT AT,Petroleum,Not reported,2016,2017-10-31,163.88,82.45,-19.503197257826713,-49.68879668049792,30.18559942267121,511.5501352813851,487,24.55013528138511,1,1
,IMPLEMENTATION OF 50 MW WIND POWER PROJECT AT RAJASTHAN,Mines,Not reported,2016,2017-11-30,344.5,344.5,-32.56105020834783,0.0,-32.56105020834783,256.7221153089335,394,-137.2778846910665,1,1
,TRANSMISSION SYSTEM STRENTHENING ASSOCIATED WITH,Power,Not reported,2018,2017-11-30,244.19,123.33,-8.572209759754305,-49.4942462836316,40.922036523877296,428.2548051948054,0,428.2548051948054,1,0
,SAFDARJUNG HOSPITAL RE-DEVELOPMENT AND OTHERS -SUPER,Health And Family Welfare,Not reported,2015,2017-12-31,444.7,326.3,-11.795812114961603,-26.624690802788393,14.82887868782679,176.6706434474616,761,-584.3293565525385,1,1
,"SAFDARJUNG HOSPITAL, NEW DELHI-REDEVELOPMENT and",Speciality Block                (Hospital Services,Not reported,2016,2017-12-31,196.7,170.0,-13.132011984147479,-13.57397051347229,0.44195852932481117,227.2908982683983,730,-502.70910173160166,1,1
,RAMANAGRAM-MYSORE DOUBLING WITH ELECTRIFICATION OF,Railways,Not reported,2013,2018-02-28,482.0,992.61,-12.464317104075196,105.93568464730289,-118.40000175137808,73.92201790633608,1825,-1751.0779820936639,1,1
,SURATPURA - HANUMANGARH - SRIGANGANAGAR GUAGE,Kengesii- Musore (Swr)                    (South Western,Not reported,2014,2018-02-28,516.23,694.13,-15.855557886415456,34.461383491854406,-50.31694137826986,111.62719106650925,1460,-1348.3728089334907,1,1
,CONNECTIVITY FOR KUDANKULAM 3 AND 4 (2000MW) WITH,Nr Part Of West Bengal And Transfer Of Power (Power,Not reported,2018,2018-03-31,162.11,125.0,-35.31834816220144,-22.891863549441744,-12.426484612759694,241.51136363636374,0,241.51136363636374,1,0
,TRANSMISSION SYSTEM FOR DEVELOPMENT OF POOLING STN. IN,Power,Not reported,2015,2018-03-31,4404.57,3700.95,-12.747030522942108,-15.974771657619243,3.227741134677135,473.39580542995014,1185,-711.6041945700499,0,1
,ESTABLISHMENT OF FIBER OPTIC COMMUNICATION SYSTEM IN,Power,Not reported,2014,2018-04-30,198.63,127.13,-11.384226630063603,-35.99657654936314,24.61234991929954,383.3170508658009,1337,-953.6829491341991,1,1
,REMOVAL OF CONSTRAINTS IN 400KV BAYS EXTENSIONS AT 400KV,Northern Region                     (Power Grid,Not reported,2018,2018-04-30,207.88,17.0,-17.908714013481937,-91.82220511833751,73.91349110485557,231.81899350649357,0,231.81899350649357,1,0
,FUEL QUALITY UPGRADATION (DHDT/DHDS) PROJECT AT GUJARAT,Petroleum,Not reported,2017,2018-05-31,931.0,684.74,-2.639475172576923,-26.45112781954887,23.811652646971947,218.48557720057715,334,-115.51442279942285,1,1
,AUGMENTATION OF TRANSFORMATION CAPACITY IN SOUTHERN,Power,Not reported,2019,2018-06-30,167.75,86.62,-25.352113305164867,-48.36363636363636,23.011523058471493,364.64589285714294,0,364.64589285714294,1,0
,2-LANNING WITH PS KHAGARIA-PURNEA,Road Transport And Highways,Not reported,2014,2018-09-30,664.0,654.59,-9.618442213858605,-1.4171686746987904,-8.201273539159814,110.51761314443135,1702,-1591.4823868555686,1,1
,DEVELOPMENT OF SIX LANE EASTERN PERIPHERAL EXPRESSWAY (,Pkg-V)                       (National Highways Authority Of,Not reported,2018,2018-09-30,789.31,867.54,-4.014080332210877,9.911188253031131,-13.925268585242009,141.39885773317593,213,-71.60114226682407,1,1
,FOUR LANING OF ORISSA/CHATTISGARH BORDER - AURANG,Pkg-Iv)                      (National Highways Authority Of,Not reported,2015,2018-09-30,1232.0,1091.17,-20.751876302968057,-11.431006493506487,-9.32086980946157,291.5228679653678,1156,-864.4771320346322,1,1
,LAYING OF HEAT TRACED PIPE LINE WITH ASSOCIATED FACILITIES,Manali Refinery                        (Chennai Petroleum,Not reported,2018,2018-09-30,337.06,167.16,-30.42447352413932,-50.40645582388892,19.9819822997496,257.81938803620625,60,197.81938803620625,1,0
,NEW CRUDE OIL PIPELINE PROJECT FROM CHENNAI PORT TO,Petroleum,Not reported,2016,2018-09-30,257.87,243.3,-12.932579849039879,-5.650133788342961,-7.282446060696918,568.8448701298701,698,-129.15512987012994,1,1
,TRANSMISSION SYSTEM FOR ULTRA MEGA SOLAR POWER AT,Power,Not reported,2018,2018-09-30,810.48,528.5,-0.20895801286079224,-34.791728358503605,34.582770345642814,290.6763419913419,0,290.6763419913419,1,0
,TWO LANING WITH PAVED SHOULDER BARMER - SANCHOR -,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2018,2018-09-30,538.08,335.24,-16.252548298904436,-37.696996729110914,21.444448430206478,149.62814344746164,241,-91.37185655253836,1,1
,LAYING OF HEAT TRACED PIPE LINE WITH ASSOCIATED FACILITIES,Petroleum,Not reported,2019,2018-11-30,193.4,106.79,-6.7243988325058055,-44.78283350568769,38.058434673181885,506.0516504329004,0,506.0516504329004,1,0
,GREEN ENERGY CORRIDORS: INTER-STATE TRANSMISSION,Power,Not reported,2018,2018-12-31,2247.37,1531.89,-38.07206535716335,-31.836324236774534,-6.23574112038882,358.0544372294372,183,175.0544372294372,0,1
,AUGMENTATION OF TRANSFORMERS IN NORTHERN REGION - PART,Limited And Ind-Barath Power(Madras) Limited L (Power,Not reported,2016,2019-03-31,155.57,146.32,-31.432876342734193,-5.945876454329241,-25.486999888404952,249.76454545454558,1125,-875.2354545454544,1,1
,COMMON SYSTEM ASSOCIATED WITH COASTAL ENERGEN PRIVATE,Power,Not reported,2014,2019-03-31,1940.13,2562.42,-49.75542182471202,32.074654791173785,-81.83007661588582,310.673538961039,1672,-1361.326461038961,1,1
,PROVISION OF STATECOM AT NALAGARH AND LUCKNOW IN,Mundra Umpp (Part-B)                      (Power Grid,Not reported,2019,2019-03-31,431.89,264.06,-17.216490661905883,-38.859431799763826,21.642941137857942,173.54700708382526,58,115.54700708382526,1,0
,TRANSMISSION SYSTEM STRENGTHENING ASSOCIATED WITH,B                            (Power Grid Corporation Of India,Not reported,2018,2019-03-31,300.94,253.36,-4.8724965086995216,-15.81046055692164,10.937964048222119,273.42560015741833,120,153.42560015741833,1,1
,DISTILLATE YIELD IMPROVEMENT PROJECT (COKER) AT HALDIA,Petroleum,Not reported,2017,2019-04-30,3076.0,3450.3,-21.464178688238395,12.168400520156053,-33.632579208394446,392.2736634199133,606,-213.7263365800867,0,1
,JAIPUR - RINGUS - CHURU AND SIKAR - LOHARU GUAGE,Railways,Not reported,2014,2019-04-30,653.19,862.17,-5.4807859570972495,31.993753731686013,-37.47453968878326,100.81761314443135,1886,-1785.1823868555687,1,1
,"KHADIA EXPANSION OPENCAST PROJECT(4 TO 10 MTPA,6MTPA",Coal,Not reported,2018,2019-04-30,1131.28,796.85,-19.215093389159037,-29.56208896117672,10.346995572017683,303.4334740259739,425,-121.56652597402609,1,1
,PHALODI -JAISALMER SECTION OF NH-15 TO TWO/FOUR LANE WITH,Road Transport And Highways,Not reported,2018,2019-04-30,567.51,421.6,-18.418903747455303,-25.710560166340674,7.2916564188853705,155.75920405352224,425,-269.24079594647776,1,1
,2 LANING OF SHILLONG NONGSTOIN SECTION OF NH 44 AND,Shoulders Configuration Of Pratapgarh-Padi (Ministry,Not reported,2011,2019-05-31,1494.48,2158.5,-37.989114417892814,44.43150794925325,-82.42062236714607,621.5193506493507,3041,-2419.4806493506494,1,1
,ALLAHABAD TO UP/MP BORDER SECTION OF NH-27 IN UTTAR,Nongstoin Tura State Road Under Phase A Of Sa Item,Not reported,2018,2019-05-31,774.57,613.58,-4.014080332210877,-20.784435235033634,16.770354902822756,138.05173652105472,456,-317.94826347894525,1,1
,JORBAT - BARAPANI,Road Transport And Highways,Not reported,2014,2019-05-31,536.0,845.41,-18.612011596100977,57.72574626865671,-76.33775786475769,120.86772136953955,1976,-1855.1322786304604,1,1
,REHABILATION AND UPGRADATION OF NH-222(61) FOM KM 284 TO,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2016,2019-05-31,260.39,188.0,-22.707033728610824,-27.800606782134484,5.093573053523659,351.2716017316019,941,-589.7283982683981,1,1
,REHABILITATION AND UPGRADING TO 2 LANE WITH PAVED,Lanes With Paved Side Shoulders Of Faridkot-Ko Epc() -,Not reported,2014,2019-05-31,377.64,755.28,-24.735000394476906,100.0,-124.73500039447691,122.8415741833924,1917,-1794.1584258166076,1,1
,REHABILITATION AND UPGRADING TO 2 LANES/2 LANE WITH PAVED,Shoulders Configuration And Strengthening Of Anish,Not reported,2014,2019-05-31,322.01,267.0,-24.28921207283925,-17.08332039377659,-7.20589167906266,235.7007300275482,1764,-1528.2992699724518,1,1
,SHAHDOL TO ANUPPUR-MP/CHATTISGARH BORDER SECTION OF NH-,Pradesh                             Epc(Ministry Of Road,Not reported,2017,2019-05-31,532.49,386.02,-16.252548298904436,-27.506619842626158,11.254071543721722,151.49026465958283,760,-608.5097353404171,1,1
,STRENGTHENING AND CONSTRUCTION OF PAVED SHOULDERS,Rate(Ministry Of Road Transport And Highways (State,Not reported,2018,2019-05-31,176.22,0.1,-17.043743969383723,-99.94325275224152,82.8995087828578,206.9586255411256,484,-277.04137445887443,1,1
,TWO LANING OF HOJ POTIN SECTION OF NH 229 (19.06 KM) IN,Rate(Ministry Of Road Transport And Highways (State,Not reported,2010,2019-05-31,165.0,174.57,1.8133710058064036,5.799999999999996,-3.986628994193593,661.6322601010104,3194,-2532.3677398989894,1,1
,TWO LANING OF YUPIA - HOJ SECTION (20.40 KM) IN ARUNACHAL,Arunachal Pradesh Under Arunachal Pradesh Pa Item,Not reported,2010,2019-05-31,104.0,218.29,3.540407522625846,109.89423076923077,-106.35382324660493,659.5796410533914,3194,-2534.4203589466088,1,1
,GONDA - BAHRAICH (60 KIMS.) OF GONDA-BAHRAICH-SITAPUR-,Chandigarh                        (Northern Railway) -,Not reported,1999,2019-06-30,233.0,349.37,65.23011859168649,49.94420600858369,15.2859125831028,1328.282898629149,7395,-6066.717101370851,1,1
