project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk
,2-LANING FROM MANU-SIMLUNG ( PKG III),Madhapur) In The State Of Odisha            (Ministry Of Road,Not reported,2022,2023-11-30,347.36,224.48,-23.437176143810916,-35.37540304007371,11.93822689626279,298.5268787659604,698.0,-399.4731212340396,1,1
,DABOKA KATHKATI PACKAGE-2,Epc(National Highways And Infrastructure Development,Not reported,2024,2023-11-30,335.88,220.39,-23.30769648625808,-34.38430391806598,11.0766074318079,287.9108848192553,-32.0,319.9108848192553,1,0
,DABOKA KATHKATI PACKAGE-4,Epc(National Highways And Infrastructure Development,Not reported,2023,2023-11-30,260.07,290.49,-22.637271689349973,11.696850847848662,-34.33412253719864,344.5257504804673,-1.0,345.5257504804673,1,1
,KAILASHAHAR TO KHOWAI PKG-3,Epc(National Highways And Infrastructure Development,Not reported,2022,2023-11-30,280.91,202.06,-25.754701346436836,-28.069488448257456,2.3147871018206203,346.95714258835625,517.0,-170.04285741164375,1,1
,KAILASHAHAR TO KHOWAI PKG-5,Epc(National Highways And Infrastructure Development,Not reported,2022,2023-11-30,332.14,148.07,-23.30769648625808,-55.419401457216836,32.111704970958755,284.9490731576591,517.0,-232.0509268423409,1,1
,KHELLANI-KHANABAL PKG-6,Epc(National Highways And Infrastructure Development,Not reported,2022,2023-11-30,285.28,218.89,-25.2082057306264,-23.271873247335947,-1.9363324832904532,340.30569978857125,455.0,-114.69430021142875,1,1
,WIDENING TO 2LPS FROM 50/0 TO 140/9 OF NH-57 (SONEPUR TO,Highways And Infrastructure Development Corporation,Not reported,2017,2023-11-30,295.67,242.48,-23.63760171241058,-17.9896506240065,-5.647951088404078,1158.0332211067187,2493.0,-1334.9667788932813,1,1
,DEVELOPMENT OF NELP BLOCK KG-ONN-2003/1 NAGAYALANKA,Petroleum,Not reported,2023,2023-12-31,284.79,258.16,-16.713514705078246,-9.350749675199268,-7.362765029878979,313.6205499632606,213.0,100.6205499632606,1,1
,BALANCE WORK UNDER PHASE-I FOR 4L OF KHED SINNER SECTION,Epc(National Highways And Infrastructure Development,Not reported,2022,2024-02-29,169.83,207.89,-31.34061454294016,22.410645940057687,-53.75126048299785,141.868515422884,516.0,-374.131484577116,1,1
,CATALYST MANUFACTURING UNIT OF 1500 MTPA CAPACITY AT,Petroleum,Not reported,2020,2024-02-29,206.63,284.95,-21.716481053571727,37.90349900788849,-59.61998006146022,106.00764472707228,1489.0,-1382.9923552729276,1,1
,CONST OF 152 QTRS 240 BOYS 240 GIRLS 150 NURSES HOSTEL,Health And Family Welfare,Not reported,2020,2024-02-29,195.0,179.67,-23.45950602511532,-7.861538461538468,-15.597967563576852,426.3548438248785,1276.0,-849.6451561751214,1,1
,DEMBUEN - BRUNI,Highways And Infrastructure Development Corporation,Not reported,2023,2024-02-29,606.63,281.69,-19.314624906104378,-53.56477589304848,34.2501509869441,457.78481808238837,365.0,92.78481808238837,1,1
,JIA BHARALI BRIDGE ALONG WITH ITS APPROACH ROAD,Epc(National Highways And Infrastructure Development,Not reported,2023,2024-02-29,804.0,575.92,-25.56535077887527,-28.368159203980102,2.802808425104832,271.6855969087126,212.0,59.685596908712625,1,1
,INSTALLATION OF SECOND CATALYTIC DEWAXING UNIT (CDW-II) AT,Petroleum,Not reported,2023,2024-03-31,1019.0,776.55,-25.638909988353017,-23.79293424926399,-1.8459757390890275,413.609944885923,455.0,-41.39005511407697,1,1
,KARGIL-ZANSKR PACKAGE-5,Road Transport And Highways,Not reported,2023,2024-03-31,169.79,200.8,-19.579722330950123,18.26373755816009,-37.843459889110214,208.9635682293715,121.0,87.9635682293715,1,1
,REPLACEMENT OF EXISTING TWIN 42” OFFSHORE PIPELINES AT,Haldia Refinery                     (Indian Oil Corporation,Not reported,2022,2024-03-31,1378.0,1150.99,-27.045921385995513,-16.47387518142235,-10.572046204573162,71.32706087839756,486.0,-414.67293912160244,0,1
