project_id,project_name,sector,ministry,state,implementing_agency,original_cost,revised_cost,current_expenditure,planned_start_date,planned_completion_date,revised_completion_date,actual_completion_date,month,physical_progress_percentage,financial_progress_percentage,milestone_status,delay_months,source_report,source_url
N04000075,UPGRADATION OF PASSENGER TERMINAL BUILDING AND AIRSIDE FACILITIES AT TIRUCHIRAPALLI INTERNATIONAL AI,,,,AAI,951.28,,1102.2,,2021-10-01,2023-12-01,,2024-06-30,100.0,99.075,,26.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000075,UPGRADATION OF PASSENGER TERMINAL BUILDING AND AIRSIDE FACILITIES AT TIRUCHIRAPALLI INTERNATIONAL AI,,,,AAI,951.28,,1112.49,,2021-10-01,2023-12-01,,2024-10-31,100.0,100.0,,26.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000075,UPGRADATION OF PASSENGER TERMINAL BUILDING AND AIRSIDE FACILITIES AT TIRUCHIRAPALLI INTERNATIONAL AI,,,,AAI,951.28,,1112.49,,2021-10-01,2023-12-01,,2024-11-30,100.0,100.0,,26.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000076,"CONSTRUCTION OF COMBINED OPERATIONAL OFFICES FOR DGCA, BCAS, AAIB, AERA AND AAI AT SAFDARJUNG AIRPOR",,,,AAI,303.8,374.98,326.96,,2020-04-01,2024-04-01,,2024-06-30,100.0,87.194,,48.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000076,"CONSTRUCTION OF COMBINED OPERATIONAL OFFICES FOR DGCA, BCAS, AAIB, AERA AN AT SAFDARJUNG AIRPOR",,,,AAI,303.8,374.98,328.13,,2020-04-01,2024-04-01,,2024-10-31,100.0,93.4284,,48.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000076,"CONSTRUCTION OF COMBINED OPERATIONAL OFFICES F DGCA, BCAS, AAIB, AER AAI AT SAFDARJUNG AIR",,,,AAI,303.8,374.98,328.61,,2020-04-01,2024-04-01,,2024-11-30,100.0,93.5651,,48.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000077,"CCS INTERNATIONAL AIRPORT , LUCKNOW",,,,AAI,1383.0,1938.0,2109.22,,2021-09-01,2026-10-01,,2024-06-30,77.18,64.0748,,61.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000077,"CCS INTERNATIONAL AIRPORT , LUCKNOW",,,,,1383.0,1938.0,2125.02,,2021-09-01,2026-10-01,,2024-10-31,76.29,64.5548,,61.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000077,"CCS INTERNATIONAL AIRPORT , LUCKNOW",,,,,1383.0,1938.0,2134.12,,2021-09-01,2026-10-01,,2024-11-30,76.57,64.8312,,61.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000078,CONSTRUCTION OF TERMINAL BUILDING AND ASSOCIATED WORKS AT LEH AIRPORT,,,,AAI,480.33,,341.37,,2021-09-01,2025-03-01,,2024-06-30,55.92,53.3391,,42.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000078,CONSTRUCTION OF TERMINAL BUILDING AND ASSOCIATED WORKS AT LEH AIRPORT,,,,AAI,480.33,,377.61,,2021-09-01,2025-10-01,,2024-10-31,61.31,59.0016,,49.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000078,CONSTRUCTION OF TERMINAL BUILDING AND ASSOCIATE WORKS AT LEH AIRPORT,,,,AAI,480.33,,378.16,,2021-09-01,2025-10-01,,2024-11-30,61.81,59.0875,,49.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000079,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING, RECONSTRUCTION OF OLD TERMINAL BUILDING, MODIFICAT",,,,AAI,475.39,,504.63,,2021-04-01,2023-12-01,,2024-06-30,100.0,97.0442,,32.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000079,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING RECONSTRUCTION OF OLD TERMINAL BUILDING, MODIFICAT",,,,AAI,475.39,,508.41,,2021-04-01,2023-12-01,,2024-10-31,100.0,97.7712,,32.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000079,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING, RECONSTRUCT OF OLD TERMINAL BUILD MODIFICAT",,,,AAI,475.39,,508.45,,2021-04-01,2023-12-01,,2024-11-30,100.0,97.7788,,32.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000080,CONSTRUCTION OF ATC TOWER AND TECHNICAL BLOCK AT NSCBI AIRPORT KOLKATA,,,,AAI,458.0,,246.64,,2020-03-01,2023-12-01,,2024-06-30,100.0,53.8515,,45.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000080,CONSTRUCTION OF ATC TOWER AND TECHNICAL BLOCK AT NSCBI AIRPORT KOLKATA,,,,AAI,458.0,,246.68,,2020-03-01,2023-12-01,,2024-10-31,100.0,53.8603,,45.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000080,CONSTRUCTION OF ATC TOWER AND TECHNICAL BLOCK AT NSCBI AIRPORT KOLKATA,,,,AAI,458.0,,246.68,,2020-03-01,2023-12-01,,2024-11-30,100.0,53.8603,,45.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000081,"AIRSIDE CAPACITY ENHANCEMENT OF NSBI AIRPORT, KOLKATA",,,,AAI,389.71,,391.79,,2021-11-01,2023-05-01,,2024-06-30,100.0,99.9464,,18.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000081,"AIRSIDE CAPACITY ENHANCEMENT OF NSBI AIRPORT, KOLKATA",,,,,389.71,,396.49,,2021-11-01,2023-05-01,,2024-10-31,100.0,99.8715,,18.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000081,"AIRSIDE CAPACITY ENHANCEMENT OF NSBI AIRPORT, KOLKATA",,,,AAI,389.71,,396.49,,2021-11-01,2023-05-01,,2024-11-30,100.0,99.8715,,18.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000082,"CONSTRUCTION OF NEW DORNESTIC TERMINAL BUILDING AND OTHER STRUCTURES, PHASE I AND II",,,,AAI,1216.9,,744.99,,2022-10-01,2024-12-01,,2024-06-30,66.4,61.2203,,26.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000082,"CONSTRUCTION OF NEW DORNESTIC TERMINAL BUILDING AND OTHER STRUCTURES, PHASE I AND II",,,,AAI,1216.9,,823.96,,2022-10-01,2024-12-01,,2024-10-31,74.2,67.7098,,26.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000082,"CONSTRUCTION OF NEW DORNESTIC TERMINAL BUILDING AND OTHER STRUCTURES, PHASE I A",,,,AAI,1216.9,,840.93,,2022-10-01,2025-06-01,,2024-11-30,74.3,69.1043,,32.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000083,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT LGBI AIRPORT GUWAHATI,,,,AAI,1142.0,,1091.52,,2021-03-01,2025-03-01,,2024-06-30,57.96,46.7861,,48.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000083,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILD AT LGBI AIRPORT GUWAHATI,,,,AAI,1142.0,,1414.84,,2021-03-01,2025-05-01,,2024-10-31,68.99,60.6447,,50.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000083,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT LGBI AIRPO GUWAHATI,,,,AAI,1142.0,,1456.65,,2021-03-01,2025-05-01,,2024-11-30,71.26,62.4368,,50.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000085,"CONSTRUCTION OF DOMESTIC PASSENGER TERMINAL BUILDING AT DEHRADUN AIRPORT, DEHRADUN",,,,AAI,456.86,,480.84,,2020-09-01,2024-07-01,,2024-06-30,99.99,96.168,,46.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000085,"CONSTRUCTION OF DOMESTIC PASSENGER TERMINAL BUILDING AT DEHRADUN AIRPORT, DEHRADUN",,,,AAI,456.86,,483.59,,2020-09-01,2024-09-01,,2024-10-31,100.0,96.718,,48.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000085,"CONSTRUCTION OF DOMESTIC PASSENGER TERMINAL BUILDING AT DEHRADUN AIRPORT, DEHRADUN",,,,AAI,456.86,,483.66,,2020-09-01,2024-09-01,,2024-11-30,100.0,96.732,,48.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000086,"CO CIVIL AVIATION II) AT BEGUMPET AIRPORT, HYDRABAD",,,,AAI,353.61,,303.22,,2022-05-01,2023-06-01,,2024-06-30,100.0,85.7498,,13.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000086,"CO CIVIL AVIATION REASEARCH AIRPORT, HYDRABAD",,,,AAI,353.61,,303.22,,2022-05-01,2023-06-01,,2024-10-31,100.0,85.7498,,13.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000086,"CO CIVIL AVIATION REASEARCH AIRPORT, HYDRABAD",,,,AAI,353.61,,303.22,,2022-05-01,2023-06-01,,2024-11-30,100.0,85.7498,,13.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000087,UPGRADATION OF JABALPUR AIRPORT,,,,AAI,412.24,,399.13,,2021-06-01,2024-07-01,,2024-06-30,99.35,96.8198,,37.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000087,UPGRADATION OF JABALPUR AIRPORT,,,,,412.24,,401.34,,2021-06-01,2024-07-01,,2024-10-31,100.0,97.3559,,37.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000087,UPGRADATION OF JABALPUR AIRPORT,,,,,412.24,,401.35,,2021-06-01,2024-07-01,,2024-11-30,100.0,97.3583,,37.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000088,"C/O NEW GREENFIELD AIRPORT AT HISSAR, RAJKOT, GUJARAT",,,,AAI,1405.0,,1240.12,,2022-08-01,2024-08-01,,2024-06-30,98.0,88.2648,,24.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000088,"C/O NEW GREENFIELD AIRPORT AT HISSAR, RAJKOT, GUJARAT",,,,,1405.0,,1292.6,,2022-08-01,2024-10-01,,2024-10-31,100.0,92.0,,26.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000088,"C/O NEW GREENFIELD AIRPORT AT HISSAR, RAJKOT, GUJ",,,,,1405.0,,1295.83,,2022-08-01,2024-10-01,,2024-11-30,100.0,92.2299,,26.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000089,EXT AND STR. OF EXISTING RUNWAY 08/26 AT TIRUPATI AIRPORT,,,,AAI,177.1,,143.08,,2020-02-01,2024-01-01,,2024-06-30,100.0,80.7905,,47.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000089,EXT AND STR. OF EXISTING RUNWAY 08/26 AT TIRUPATI AIRPORT,,,,AAI,177.1,,143.08,,2020-02-01,2024-01-01,,2024-10-31,100.0,80.7905,,47.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000089,EXT AND STR. OF EXISTING RUNWAY 08/26 AT TIRUPA AIRPORT,,,,AAI,177.1,,143.08,,2020-02-01,2024-01-01,,2024-11-30,100.0,80.7905,,47.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000090,DEVELOPMENT OF TUTICORIN AIRPORT,,,,AAI,380.87,452.93,287.54,,2022-03-01,2024-07-01,,2024-06-30,84.5,63.4844,,28.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000090,DEVELOPMENT OF TUTICORIN AIRPORT,,,,,380.87,,323.27,,2022-03-01,2024-12-01,,2024-10-31,93.0,71.3731,,33.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000090,DEVELOPMENT OF TUTICORIN AIRPORT,,,,,380.87,,329.02,,2022-03-01,2025-03-01,,2024-11-30,94.0,72.1551,,36.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000091,C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIRPORT,,,,AAI,611.8,,282.22,,2023-03-01,2024-12-01,,2024-06-30,45.8,46.1295,,21.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000091,C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIRPORT,,,,,611.8,,351.3,,2023-03-01,2025-06-01,,2024-10-31,57.0,57.4207,,27.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000091,C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIR,,,,,611.8,,359.24,,2023-03-01,2025-06-01,,2024-11-30,61.5,58.7185,,27.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000092,CONSTRUCTION OF NEW GREEN FIELD AIRPORT AT HOLLONGI ITANAGAR ARUNACHAL PRADESH,,,,AAI,645.63,,660.27,,2022-08-01,2024-08-01,,2024-06-30,97.58,92.715,,24.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000092,CONSTRUCTION OF NEW GREEN FIELD AIRPORT AT HOLLONGI ITANAGAR ARUNACHAL PRADESH,,,,AAI,645.63,,670.15,,2022-08-01,2024-12-01,,2024-10-31,98.58,94.1024,,28.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000092,CONSTRUCTION OF NEW GREEN FIELD AIRPORT AT HOLL ITANAGAR ARUNACHAL PRADESH,,,,AAI,645.63,,672.23,,2022-08-01,2025-03-01,,2024-11-30,98.72,94.3944,,31.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000093,"EXTENSION OF TERMINAL BUILDING, PTT, APRON AND CAR PARK AT SURAT AIRPORT.",,,,AAI,353.25,,333.14,,2021-02-01,2024-10-01,,2024-06-30,96.5,94.3071,,44.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000093,"EXTENSION OF TERMINAL BUILDING, PTT, APRON AND C PARK AT SURAT AIRPORT.",,,,AAI,353.25,,341.37,,2021-02-01,2024-12-01,,2024-10-31,98.25,96.6369,,46.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000093,"EXTENSION OF TERMINAL BUILDING, PTT, APRON A PARK AT SURAT AIRPORT.",,,,AAI,353.25,,343.17,,2021-02-01,2025-03-01,,2024-11-30,98.4,97.1465,,49.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000094,DEVELOPMENT OF AYODHYA AIRPORT PHASE-01,,,,AAI,242.14,328.0,335.02,,2022-12-01,2024-07-01,,2024-06-30,99.9,93.581,,19.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000094,DEVELOPMENT OF AYODHYA AIRPORT PHASE-01,,,,,242.14,328.0,338.51,,2022-12-01,2024-11-01,,2024-10-31,99.9,94.5559,,23.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000094,DEVELOPMENT OF AYODHYA AIRPORT PHASE-01,,,,,242.14,328.0,339.11,,2022-12-01,2025-03-01,,2024-11-30,99.9,94.7235,,27.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000095,EXTENSION OF EXISTING INTEGRATED TERMINAL BUILDING AND ALLIED WORKS AT GOA AIRPORT.,,,,AAI,255.69,,62.63,,2021-09-01,2025-03-01,,2024-06-30,46.5,24.4945,,42.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000095,EXTENSION OF EXISTING INTEGRATED TERMINAL BUILDI AND ALLIED WORKS AT GOA AIRPORT.,,,,AAI,255.69,,78.95,,2021-09-01,2025-03-01,,2024-10-31,60.0,30.8772,,42.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000095,EXTENSION OF EXISTING INTEGRATED TERMINAL BUILDING AND ALLIED AT GOA AIRPORT.,,,,AAI,255.69,,82.82,,2021-09-01,2025-03-01,,2024-11-30,65.0,32.3908,,42.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000096,"EXTENSION OF RUNWAY WITH BLAST PAD, RESA, TAXIWAY, APRON, GSE AREA, ISOLATION BAY, NEW DOMESTIC TERM",,,,AAI,255.68,,262.55,,2020-12-01,2024-04-01,,2024-06-30,100.0,99.0755,,40.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000096,"EXTENSION OF RUNWAY WITH BLAST PAD, RESA, TAXIWAY, APRON, GSE AREA, ISOLATION BAY, NEW DOMESTIC TERM",,,,AAI,255.68,,267.86,,2020-12-01,2024-04-01,,2024-10-31,100.0,99.2074,,40.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000096,"EXTENSION OF RUNWAY WITH BLAST PAD, RESA, TAXIWAY, APRON, GSE AREA, ISOLATION BAY, NEW DOMESTIC TERM",,,,AAI,255.68,,267.86,,2020-12-01,2024-04-01,,2024-11-30,100.0,99.2074,,40.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000098,DEVELOPMENT OF GWALIOR AIRPORT PHASE 01,,,,AAI,446.12,,425.44,,2023-08-01,2024-07-01,,2024-06-30,99.6,95.3645,,11.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000098,DEVELOPMENT OF GWALIOR AIRPORT PHASE 01,,,,,446.12,,431.65,,2023-08-01,2024-08-01,,2024-10-31,100.0,96.7565,,12.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000098,DEVELOPMENT OF GWALIOR AIRPORT PHASE 01,,,,,446.12,,431.65,,2023-08-01,2024-08-01,,2024-11-30,100.0,96.7565,,12.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000099,"DEVELOPMENT OF NEW GREENFIELD AIRPORT AT DHOLERA, AHMEDABAD",,,,AAI,1305.0,1143.95,194.72,,2025-12-01,2025-12-01,,2024-06-30,22.0,17.0217,,0.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000099,"DEVELOPMENT OF NEW GREENFIELD AIRPORT AT DHOLERA, AHMEDABAD",,,,AAI,1305.0,1143.95,242.65,,2025-12-01,2025-12-01,,2024-10-31,33.0,21.2116,,0.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000099,"DEVELOPMENT OF NEW GREENFIELD AIRPORT AT DHOLERA, AHMEDABAD",,,,AAI,1305.0,1143.95,266.0,,2025-12-01,2025-12-01,,2024-11-30,36.0,23.2528,,0.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
