project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk
,FOUR LANING OF ORISSA/CHATTISGARH BORDER - AURANG,Pkg-Iv)                      (National Highways Authority Of,Not reported,2015,2018-09-30,1232.0,1091.17,-9.970826217355025,-11.431006493506487,1.460180276151462,262.6205791844387,1156,-893.3794208155613,1,1
,LAYING OF HEAT TRACED PIPE LINE WITH ASSOCIATED FACILITIES,Manali Refinery                        (Chennai Petroleum,Not reported,2018,2018-09-30,337.06,167.16,-19.25615804199427,-50.40645582388892,31.15029778189465,19.976640172789168,60,-40.02335982721083,1,0
,NEW CRUDE OIL PIPELINE PROJECT FROM CHENNAI PORT TO,Petroleum,Not reported,2016,2018-09-30,257.87,243.3,5.074334803366483,-5.650133788342961,10.724468591709444,38.388681948626,698,-659.611318051374,1,1
,TRANSMISSION SYSTEM FOR ULTRA MEGA SOLAR POWER AT,Power,Not reported,2018,2018-09-30,810.48,528.5,12.073809554645692,-34.791728358503605,46.865537913149296,4.361305664312408,0,4.361305664312408,1,0
,TWO LANING WITH PAVED SHOULDER BARMER - SANCHOR -,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2018,2018-09-30,538.08,335.24,-6.633564881027979,-37.696996729110914,31.063431848082935,5.249396884645968,241,-235.75060311535404,0,1
,LAYING OF HEAT TRACED PIPE LINE WITH ASSOCIATED FACILITIES,Petroleum,Not reported,2019,2018-11-30,193.4,106.79,10.36437066693442,-44.78283350568769,55.14720417262211,24.001530414786462,0,24.001530414786462,1,0
,GREEN ENERGY CORRIDORS: INTER-STATE TRANSMISSION,Power,Not reported,2018,2018-12-31,2247.37,1531.89,-39.646091032950174,-31.836324236774534,-7.809766796175641,5.934874811908179,183,-177.06512518809183,1,1
,AUGMENTATION OF TRANSFORMERS IN NORTHERN REGION - PART,Limited And Ind-Barath Power(Madras) Limited L (Power,Not reported,2016,2019-03-31,155.57,146.32,-22.53707007698567,-5.945876454329241,-16.59119362265643,78.35931786603797,1125,-1046.640682133962,1,1
,COMMON SYSTEM ASSOCIATED WITH COASTAL ENERGEN PRIVATE,Power,Not reported,2014,2019-03-31,1940.13,2562.42,-47.189427065933145,32.074654791173785,-79.26408185710693,78.12525411476166,1672,-1593.8747458852383,1,1
,PROVISION OF STATECOM AT NALAGARH AND LUCKNOW IN,Mundra Umpp (Part-B)                      (Power Grid,Not reported,2019,2019-03-31,431.89,264.06,-13.380894333242978,-38.859431799763826,25.478537466520848,9.910552877207081,58,-48.08944712279292,0,0
,TRANSMISSION SYSTEM STRENGTHENING ASSOCIATED WITH,B                            (Power Grid Corporation Of India,Not reported,2018,2019-03-31,300.94,253.36,-6.243347081850118,-15.81046055692164,9.567113475071523,27.787393752361652,120,-92.21260624763835,1,1
,DISTILLATE YIELD IMPROVEMENT PROJECT (COKER) AT HALDIA,Petroleum,Not reported,2017,2019-04-30,3076.0,3450.3,-15.1824070497332,12.168400520156053,-27.350807569889255,5.46955498382424,606,-600.5304450161758,1,1
,JAIPUR - RINGUS - CHURU AND SIKAR - LOHARU GUAGE,Railways,Not reported,2014,2019-04-30,653.19,862.17,-2.8357267192370585,31.993753731686013,-34.82948045092307,185.95122518619547,1886,-1700.0487748138046,0,1
,"KHADIA EXPANSION OPENCAST PROJECT(4 TO 10 MTPA,6MTPA",Coal,Not reported,2018,2019-04-30,1131.28,796.85,2.4346684570384696,-29.56208896117672,31.99675741821519,12.446881344423133,425,-412.5531186555769,1,1
,PHALODI -JAISALMER SECTION OF NH-15 TO TWO/FOUR LANE WITH,Road Transport And Highways,Not reported,2018,2019-04-30,567.51,421.6,23.507043020258223,-25.710560166340674,49.21760318659889,0.7077226178653266,425,-424.29227738213467,1,1
,2 LANING OF SHILLONG NONGSTOIN SECTION OF NH 44 AND,Shoulders Configuration Of Pratapgarh-Padi (Ministry,Not reported,2011,2019-05-31,1494.48,2158.5,-22.23257991587691,44.43150794925325,-66.66408786513017,184.01241623690908,3041,-2856.9875837630907,1,1
,ALLAHABAD TO UP/MP BORDER SECTION OF NH-27 IN UTTAR,Nongstoin Tura State Road Under Phase A Of Sa Item,Not reported,2018,2019-05-31,774.57,613.58,-1.7341052340686645,-20.784435235033634,19.05033000096497,7.435161573081146,456,-448.56483842691887,0,1
,JORBAT - BARAPANI,Road Transport And Highways,Not reported,2014,2019-05-31,536.0,845.41,4.629842136653934,57.72574626865671,-53.09590413200277,48.08276353976757,1976,-1927.9172364602325,1,1
,REHABILATION AND UPGRADATION OF NH-222(61) FOM KM 284 TO,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2016,2019-05-31,260.39,188.0,-21.315442086801696,-27.800606782134484,6.485164695332788,72.23514189760444,941,-868.7648581023956,1,1
,REHABILITATION AND UPGRADING TO 2 LANE WITH PAVED,Lanes With Paved Side Shoulders Of Faridkot-Ko Epc() -,Not reported,2014,2019-05-31,377.64,755.28,-24.022831592251336,100.0,-124.02283159225134,108.2392986583504,1917,-1808.7607013416496,0,1
,REHABILITATION AND UPGRADING TO 2 LANES/2 LANE WITH PAVED,Shoulders Configuration And Strengthening Of Anish,Not reported,2014,2019-05-31,322.01,267.0,-26.871604032788397,-17.08332039377659,-9.788283639011809,231.7544113581017,1764,-1532.2455886418984,1,1
,SHAHDOL TO ANUPPUR-MP/CHATTISGARH BORDER SECTION OF NH-,Pradesh                             Epc(Ministry Of Road,Not reported,2017,2019-05-31,532.49,386.02,-5.924765204629352,-27.506619842626158,21.581854637996805,5.387908409334848,760,-754.6120915906652,0,1
,STRENGTHENING AND CONSTRUCTION OF PAVED SHOULDERS,Rate(Ministry Of Road Transport And Highways (State,Not reported,2018,2019-05-31,176.22,0.1,-16.22729345951433,-99.94325275224152,83.71595929272719,34.687267999078195,484,-449.3127320009218,1,1
,TWO LANING OF HOJ POTIN SECTION OF NH 229 (19.06 KM) IN,Rate(Ministry Of Road Transport And Highways (State,Not reported,2010,2019-05-31,165.0,174.57,-19.884093599183117,5.799999999999996,-25.684093599183115,293.8474260801963,3194,-2900.1525739198037,1,1
,TWO LANING OF YUPIA - HOJ SECTION (20.40 KM) IN ARUNACHAL,Arunachal Pradesh Under Arunachal Pradesh Pa Item,Not reported,2010,2019-05-31,104.0,218.29,-20.974311464898975,109.89423076923077,-130.86854223412973,278.3676127868526,3194,-2915.6323872131475,1,1
,GONDA - BAHRAICH (60 KIMS.) OF GONDA-BAHRAICH-SITAPUR-,Chandigarh                        (Northern Railway) -,Not reported,1999,2019-06-30,233.0,349.37,39.65962089668494,49.94420600858369,-10.28458511189875,948.9577542926706,7395,-6446.042245707329,1,1
,WIDENING TO 2L FROM 228/70 TO 258/70 AND 286/70 TO 327/70 OF VR,Road Transport And Highways,Not reported,2015,2019-08-31,229.29,163.4,7.033370379791677,-28.73653451960399,35.76990489939567,131.32720675925574,1399,-1267.6727932407443,1,1
,"FIELD DEVELOPMENT OF NELP BLOCK KG-ONN-2003,",Barauni Refinery                      (Indian Oil Corporation,Not reported,2018,2019-10-31,420.76,239.45,-11.816002462512444,-43.09107329594068,31.275070833428238,9.424162810542205,425,-415.5758371894578,0,1
,FUEL QUALITY UPGRADATION (DHDT/PRIME G) PROJECT AT,Petroleum,Not reported,2018,2019-10-31,822.66,822.02,9.342486121602462,-0.07779641650256319,9.420282538105026,2.5300019202811606,364,-361.46999807971883,1,1
,INSTALLATION OF BUS REACTORS AT CUDDAPAH NELLORE,Power,Not reported,2019,2019-10-31,251.6,192.74,7.209916969615406,-23.394276629570744,30.60419359918615,16.632657889578176,152,-135.36734211042182,1,1
,2 LANNING OF MOKAMA-MUNGER,Road Transport And Highways,Not reported,2013,2019-11-30,351.54,329.4,-7.254627167588467,-6.298003072196632,-0.9566240953918346,167.78920040567468,2404,-2236.210799594325,1,1
,DEVELOPMENT OF SIX LANE EASTERN PERIPHERAL EXPRESSWAY (,Pkg-Iii)                  (National Highways Authority Of,Not reported,2018,2019-11-30,785.78,839.0,-1.7341052340686645,6.772888085723743,-8.506993319792407,7.435161573081146,639,-631.5648384269189,0,1
,CONSTRUCTION OF FLYOVER-UNDERPASS BETWEEN NORTHERN,Ibrahimpatnam Hyderabad                (Central Public,Not reported,2019,2019-12-31,188.0,146.45,-15.471766259597715,-22.10106382978724,6.629297570189525,33.83266576193717,213,-179.16733423806284,1,1
,CONSTRUCTION OF SOUTHERN REGIONAL CENTER FOR NSG AT,Urban Development,Not reported,2017,2019-12-31,157.84,167.23,-7.689830890032553,5.94906234161175,-13.638893231644303,18.054938554187007,1035,-1016.9450614458129,1,1
,JAIPUR-PANIPAT NAPTHA PIPELINE ALONG WITH AUGMENTATION OF,Petroleum,Not reported,2019,2019-12-31,890.0,609.29,7.76832989796614,-31.540449438202252,39.30877933616839,2.7602414045911075,91,-88.23975859540889,1,1
,CONSTRUCTION OF ONE ETP AND THREE ETPS CUM WATER,Petroleum,Not reported,2014,2020-01-31,202.94,193.03,10.472928737245638,-4.883216714299792,15.35614545154543,706.1860571885803,2221,-1514.8139428114196,1,1
,UPGRADATION OF NATIONAL FIRE SERVICES COLLEGE AT NAGPUR,Urban Development,Not reported,2012,2020-02-29,205.0,166.12,-15.175826292185505,-18.965853658536584,3.7900273663510795,431.2610895671302,2921,-2489.73891043287,1,1
,REDEVELOPMENT/ EXPANSION OF MEERUT DEPOT FOR ENHANCING,Petroleum,Not reported,2019,2020-04-30,154.84,128.71,-4.208243702970137,-16.875484370963573,12.667240667993436,15.233571108638149,181,-165.76642889136184,1,1
,CONSTRUCTION OF MEDICAL COLLEGE AND HOSPITAL AT,Urban Development,Not reported,2014,2020-07-31,768.88,1125.98,0.49796274724879197,46.44417854541671,-45.94621579816792,78.70837452437262,2372,-2293.2916254756274,1,1
,CONSTRUCTION OF PARAMEDICAL AND ALLIED HEALTH INSTITUTE,Gulbarga                          (Hindustan Steelwork,Not reported,2015,2020-07-31,324.87,270.24,-25.457589206587755,-16.815957152091602,-8.641632054496153,244.4117996633381,1704,-1459.5882003366619,1,1
,CONSTRUCTION OF PERMANENT CAMPUS OF IISER KOLKATA AT,At Gulbarga                    (Hindustan Steelwork,Not reported,2016,2020-07-31,156.57,159.35,-23.524218541992866,1.775563645653702,-25.299782187646567,76.02801334273467,1460,-1383.9719866572652,1,1
,NEELAM REDEVELOPMENT PLAN FOR EXPLOITATION OF BASSEIN,Petroleum,Not reported,2019,2020-07-31,2818.88,2907.03,-34.55941429535494,3.1271285049381348,-37.686542800293076,5.1883291866956585,518,-512.8116708133043,1,1
,REHABILITATION AND UPGRADATION OF NH-4 FROM NALAGAMPALLI,Road Transport And Highways,Not reported,2020,2020-07-31,648.32,511.34,20.6201622730361,-21.128455083909188,41.74861735694529,1.009855067332722,152,-150.99014493266728,1,1
,CONSTRUCTION OF CIVIL STRUCTURES AND OTHER,Under Phase-Xii                      (Hindustan Steelwork,Not reported,2015,2020-08-31,154.0,280.32,-26.27404535719222,82.02597402597402,-108.30001938316624,324.71125709247923,1765,-1440.2887429075208,1,1
,CONSTRUCTION OF RURAL ROAD DEVELOPMENT AUTHORITY,Under Pmgsy-Jharkhand                (Hindustan,Not reported,2016,2020-08-31,787.29,285.3,-2.7124418902224647,-63.76176504210647,61.049323151884,20.146775993978885,1369,-1348.853224006021,0,1
,CONSTRUCTION OF RURAL ROADS WITH FIVE YEAR MAINTEINANCE,Urban Development,Not reported,2016,2020-08-31,253.92,1113.24,2.961026560602093,338.42155009451795,-335.4605235339159,49.571711469046036,1552,-1502.428288530954,1,1
,UPGRADATION OF CRUDE OIL PUMP STATIONS OF NAHARKATIYA-,Petroleum,Not reported,2015,2020-08-31,871.35,565.63,-5.835036596137883,-35.085786423366045,29.250749827228162,128.8647112287152,2010,-1881.1352887712849,1,1
,INSTALLATION OF ADDITIONAL CRUDE TANKS (7 NOS) AT PARADIP,Petroleum,Not reported,2019,2020-12-31,429.0,373.62,5.728266387858213,-12.909090909090908,18.63735729694912,6.060596513016605,730,-723.9394034869835,1,1
,2 LANING OF SINGER RIVER TO SIZOH NALA IN ARUNACHAL,Highways And Infrastructure Development Corporation,Not reported,2019,2021-01-31,179.82,199.53,-17.39278405672198,10.960960960960966,-28.353745017682947,32.28355161600634,761,-728.7164483839937,1,1
,CONSTRUCTION OF MECHI BRIDGE AND APPROACHES ON INDIA-,Highways And Infrastructure Development Corporation,Not reported,2018,2021-01-31,158.65,110.62,-22.07614224151419,-30.274188465174912,8.198046223660722,33.96147154962743,975,-941.0385284503726,1,1
,MDPL CAPACITY EXPANSION AND PALANPUR VADODARA PIPELINE,Petroleum,Not reported,2020,2021-01-31,1879.0,1694.25,-21.7180772683717,-9.83235763704098,-11.885719631330721,0.5867208511603138,244,-243.41327914883968,1,1
,WIDENING FROM TWO LANE TO FOUR LANE WITH PAVED SHOULDER,Highways And Infrastructure Development Corporation,Not reported,2017,2021-01-31,223.67,112.81,-11.911209839210926,-49.56408995395002,37.65288011473909,33.60595792979615,1460,-1426.3940420702038,1,1
,MODERNISATION OF STEEL MELTING SHOP NO.1 AT BOKARO STEEL,Steel,Not reported,2017,2021-02-28,1154.18,1027.04,-1.1713138423610303,-11.01561281602524,9.844298973664209,8.660519862520523,1185,-1176.3394801374795,1,1
,"FUEL QUALITY UPGRADATION (NSU,NHT CCR NEW UNIT) PROJECT",Petroleum,Not reported,2019,2021-03-31,951.64,708.43,4.93069769113967,-25.55693329410282,30.48763098524249,4.389536952331237,547,-542.6104630476688,1,1
,REHABILITATION AND UPGRADATION OF NH67 FROM KM 424.650 TO,Road Transport And Highways,Not reported,2018,2021-05-31,378.24,315.42,13.55053078590683,-16.60850253807106,30.15903332397789,2.562676275615679,1246,-1243.4373237243842,1,1
,MOTOR SPIRIT BLOCK PROJECT (MSBP) TO PRODUCE BSVI MS AT,Petroleum,Not reported,2020,2021-06-30,3313.0,2977.0,-30.938417946627723,-10.141865378810746,-20.796552567816978,5.200925280897748,515,-509.79907471910224,1,1
,CONSTRUCTION OF 76 NOS MS FLATS FOR HONORABLE MPS OF,Court Of India At Land Adjoining Pragati Maidan (Central,Not reported,2020,2021-08-31,218.72,175.63,-14.674935322305885,-19.70098756400878,5.026052241702896,28.431691858800768,303,-274.5683081411992,1,1
,CONSTRUCTION OF A NEW POL DEPOT AT VILLAGE DATA IN HISAR,Effluent Treatment Plant At Madhuban              (Oil India,Not reported,2020,2021-08-31,255.0,275.68,-19.986753574962506,8.10980392156863,-28.096557496531137,33.56482205858289,303,-269.4351779414171,1,1
,CONSTRUCTION OF ADDITIONAL COMPLEX FOR THE SUPREME,Urban Development,Not reported,2015,2021-08-31,884.3,874.29,3.850715968938701,-1.1319687888725536,4.9826847578112545,155.94374222632004,2100,-1944.05625777368,1,1
,FOUR LANING OF CHANDIGARH - KHARAR,Shoulders Configuration Of Nabarangpur-Kok (Ministry,Not reported,2017,2021-08-31,447.29,346.39,-10.043125651560956,-22.558071944376138,12.514946292815182,10.028646363333852,1369,-1358.9713536366662,0,1
,FOUR LANNING OF NH-4A(NH-748) FROM KM 118 TO 125 INCL.FOUR,Road Transport And Highways,Not reported,2018,2021-08-31,297.0,290.64,22.056471824499894,-2.141414141414146,24.19788596591404,5.104501015546583,1248,-1242.8954989844535,1,1
,NH 79 CHITTORGARH NEEMUCH MP BORDER FOUR LANING AND NH,Shoulders Configuration Of Nabarangpur-Kok (Ministry,Not reported,2013,2021-08-31,511.0,492.0,-14.16180356425096,-3.7181996086105675,-10.443603955640391,25.932134413046015,2891,-2865.067865586954,0,1
,NH 79 OF CHITTORGARH NEEMUCH MP BORDER KM 183 000 TO KM,Shoulders Configuration Of Nabarangpur-Kok (Ministry,Not reported,2013,2021-08-31,511.0,2323.04,-14.16180356425096,354.6066536203523,-368.7684571846032,25.932134413046015,2891,-2865.067865586954,0,1
,REHABILITATION AND UP-GRADATION TO 2 LANE WITH PAVED,Shoulder Of Abohar-Sitogunno-Dabwali Road Of Nh,Not reported,2020,2021-08-31,173.24,56.66,-18.6498199276769,-67.29392749942276,48.64410757174586,32.23589748924257,456,-423.7641025107574,1,1
,REHABILITATION AND UPGRADATION OF ALLAHABAD -MIRZAPUR,Shoulder Of Mudki-Jawahar Singh Wala Section Of,Not reported,2019,2021-08-31,239.63,212.53,-12.84594868412556,-11.30910153152777,-1.5368471525977903,34.37999276837623,942,-907.6200072316237,1,1
,REHABILITATION AND UPGRADING TO 2 LANE WITH PAVED,Epc(Ministry Of Road Transport And Highways (State,Not reported,2014,2021-08-31,278.39,22.18,-24.403850914690096,-92.03275979740651,67.62890888271642,324.66647588893034,2587,-2262.33352411107,1,1
,REHABILITATION AND UPGRADING TO 2 LANES/2 LANE WITH PAVED,Rate(Ministry Of Road Transport And Highways (State,Not reported,2018,2021-08-31,229.41,6.65,-11.47216987516289,-97.10125975328016,85.62908987811727,33.7841194413006,1218,-1184.2158805586994,1,1
,REHABILITATION AND UPGRADING TO 2 LNES-2 LANE WITH PAVED,Paved Shoulders From Existing                Epc(Ministry Of,Not reported,2014,2021-08-31,376.52,171.16,-24.022831592251336,-54.541591416126636,30.5187598238753,108.2392986583504,2709,-2600.7607013416496,0,1
,SECONDARY TANK FARM WITH DEHYDRATION FACILITY AND,Petroleum,Not reported,2017,2021-08-31,352.56,455.0,4.633774657671168,29.056047197640115,-24.422272539968947,9.968183042675419,1644,-1634.0318169573245,1,1
,STRENGTHENING AND WIDENING WORK OF EXISTING 2-LANE TO,Shoulders Configuration And Strengthening Of Anish,Not reported,2016,2021-08-31,206.8,74.04,-15.276829281189364,-64.19729206963248,48.92046278844312,77.98331988859067,1887,-1809.0166801114094,1,1
,WIDENING AND STRENGHENING OF NH-65 TO TWO LANES WITH,Epc(Ministry Of Road Transport And Highways (State,Not reported,2015,2021-08-31,257.09,14.18,-25.48126230783855,-94.484421797814,69.00315948997545,354.68549236014405,2434,-2079.314507639856,1,1
,WIDENING AND STRENGTHENING OF EXISTING SL IL DL TO 2 LANE,Two Lane With Paved Shoulder And Gemetric Impr,Not reported,2017,2021-08-31,239.91,147.25,-10.81231765654013,-38.62281688966696,27.810499233126826,38.469143859935365,1430,-1391.5308561400645,1,1
,WIDENING OF SL TO 2 L KM. 107-184.80 SUKUMA TO KONTA ON NH,Flash Report,Not reported,2013,2021-08-31,179.89,242.23,-12.095601260731172,34.65451109011063,-46.7501123508418,167.66274628286754,3105,-2937.3372537171326,1,1
,BHILDI-VIRAMGAM GAUGE CONVERSION INCLUDING GC OF,Flash Report,Not reported,2019,2021-09-30,551.51,773.12,-6.965181091421229,40.18240829722036,-47.14758938864159,3.7990762737741495,944,-940.2009237262258,0,1
,GREEN ENERGY CORRIDORS - INTER STATE TRANSSMISSION,Plant (Psp)                      (Power Grid Corporation Of,Not reported,2019,2021-09-30,3519.59,2562.41,-42.09597892442081,-27.195781326802276,-14.900197597618536,0.4550831375714567,883,-882.5449168624285,0,1
,REPLACEMENT OF CONVERTER SHELLS TOGETHER WITH BOTTOM,Steel,Not reported,2020,2021-09-30,263.36,253.46,-12.32154852054731,-3.759113001215069,-8.56243551933224,19.732060997398634,394,-374.26793900260134,1,1
,SUB STATION WORK ASSOCIATED WITH STRENGTHENING OF,Tumkur (Pavagada) Karnataka Phase -Ii (Part Ii)      (Power,Not reported,2019,2021-09-30,608.24,425.04,-7.025979304980254,-30.11968959621202,23.093710291231766,6.453124469212275,913,-906.5468755307877,0,1
,TRANSMISSION SYSTEM ASSOICATED WITH TEHRI PUMP STORAGE,Corridor For Ipps In Chhattisgarh             (Power Grid,Not reported,2017,2021-09-30,871.62,628.13,0.8587316398110403,-27.935338794428766,28.794070434239806,8.983584841643447,1460,-1451.0164151583565,1,1
,TRANSMISSION SYSTEM FOR ULTRA MEGA SOLAR POWER AT,Scheme Part-D                         (Power Grid,Not reported,2019,2021-09-30,408.46,369.27,-16.34405971098529,-9.594574744160996,-6.749484966824296,10.627465780276177,1003,-992.3725342197238,0,1
,TRANSMISSION SYSTEM STRENGTHENING IN WR-NR TRANSMISSION,Power,Not reported,2018,2021-09-30,5151.37,3269.93,-19.59649099554943,-36.52309968027923,16.9266086847298,7.0058762396432375,1309,-1301.9941237603568,1,1
,C/O STEEL STRUCTURE BUILDINGS USING PRE-ENGINEERED,Urban Development,Not reported,2020,2021-10-31,532.0,541.0,13.109597109096526,1.6917293233082706,11.417867785788255,3.5424424851670344,364,-360.45755751483296,1,1
,D/O OF TERMINAL BLDG. AND PAVEMENT WORKS AT CHENNAI,Civil Aviation,Not reported,2010,2021-10-31,535.0,0.01,-21.145415028821674,-99.99813084112151,78.85271581229983,311.9336365073462,4170,-3858.0663634926536,1,1
,PROPYLENE DERIVATIVES PETROCHEMICAL PROJECT(PDPP) AT,Petroleum,Not reported,2018,2021-10-31,4588.29,5376.5,-21.41420607957825,17.17873107410386,-38.592937153682115,5.561774713512857,1187,-1181.438225286487,1,1
,ADDITIONAL FACILITIES AT AHMEDNAGAR FOR CONVERSION TO,Koyali-Manmad-Ahmednagar-Solapur Pipeline         (Indian Oil,Not reported,2021,2021-12-31,261.0,195.22,-24.92482000138523,-25.203065134099617,0.2782451327143889,28.861096394989566,364,-335.13890360501046,1,1
,ADDITIONAL FACILITIES AT MANMAD FOR COVERSION TO TOP ON,Petroleum,Not reported,2021,2021-12-31,212.0,177.58,7.547897235892165,-16.23584905660377,23.783746292495934,18.694597096748378,364,-345.3054029032516,1,1
,MULTI PRODUCT PIPELINE FROM BINA TERMINAL TO PANKI KANPUR,Top On Koyali-Manmad-Ahmednagar-Solapur Pipeli (Indian,Not reported,2021,2021-12-31,1524.06,1037.45,-9.963651130180168,-31.928532997388547,21.96488186720838,8.24630403762465,30,-21.75369596237535,0,0
,CONSTRUCTION OF PAVED SHOULDERS IN KM.81/0 TO 203/0,Epc(Ministry Of Road Transport And Highways (State,Not reported,2015,2022-02-28,258.97,229.77,-25.48126230783855,-11.275437309340857,-14.205824998497691,354.68549236014405,2403,-2048.314507639856,1,1
,ELECTRIFICATION OF KHURJA-MEERUT-SAHARANPUR AND G'BAD-,Noapara-Nscb Airport(Mtp)                 (Metropolitan,Not reported,2012,2022-02-28,171.1,141.55,-18.71476654867844,-17.270601987142012,-1.4441645615364287,118.36669130981714,3651,-3532.6333086901827,1,1
,FOUR LANING FROM MPMAHARASHTRA BORDER TO NAGPUR IC,Epc(Ministry Of Road Transport And Highways (State,Not reported,2012,2022-02-28,1170.52,2051.36,-16.138966822873527,75.2520247411407,-91.39099156401423,130.20089201913885,3559,-3428.799107980861,1,1
