project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk
,REPLACEMENT OF CONVERTER SHELLS TOGETHER WITH BOTTOM,Steel,Not reported,2020,2021-09-30,263.36,253.46,-29.46429692169608,-3.759113001215069,-25.70518392048101,196.24047619047624,394,-197.75952380952376,1,1
,SUB STATION WORK ASSOCIATED WITH STRENGTHENING OF,Tumkur (Pavagada) Karnataka Phase -Ii (Part Ii)      (Power,Not reported,2019,2021-09-30,608.24,425.04,-20.129394213462287,-30.11968959621202,9.990295382749732,303.79011904761904,913,-609.2098809523809,1,1
,TRANSMISSION SYSTEM ASSOICATED WITH TEHRI PUMP STORAGE,Corridor For Ipps In Chhattisgarh             (Power Grid,Not reported,2017,2021-09-30,871.62,628.13,-28.862063614423224,-27.935338794428766,-0.9267248199944582,496.9717893217891,1460,-963.0282106782108,1,1
,TRANSMISSION SYSTEM FOR ULTRA MEGA SOLAR POWER AT,Scheme Part-D                         (Power Grid,Not reported,2019,2021-09-30,408.46,369.27,-34.53967380656949,-9.594574744160996,-24.945099062408495,364.2596590909091,1003,-638.740340909091,1,1
,TRANSMISSION SYSTEM STRENGTHENING IN WR-NR TRANSMISSION,Power,Not reported,2018,2021-09-30,5151.37,3269.93,-13.385394273039005,-36.52309968027923,23.137705407240226,651.2657629870131,1309,-657.7342370129869,1,1
,C/O STEEL STRUCTURE BUILDINGS USING PRE-ENGINEERED,Urban Development,Not reported,2020,2021-10-31,532.0,541.0,84.3601880118517,1.6917293233082706,82.66845868854344,1218.639388528138,364,854.6393885281379,1,1
,D/O OF TERMINAL BLDG. AND PAVEMENT WORKS AT CHENNAI,Civil Aviation,Not reported,2010,2021-10-31,535.0,0.01,-33.11811664898661,-99.99813084112151,66.8800141921349,377.7676875901876,4170,-3792.2323124098125,1,1
,PROPYLENE DERIVATIVES PETROCHEMICAL PROJECT(PDPP) AT,Petroleum,Not reported,2018,2021-10-31,4588.29,5376.5,1.3993931505871653,17.17873107410386,-15.779337923516696,442.37519480519495,1187,-744.624805194805,1,1
,ADDITIONAL FACILITIES AT AHMEDNAGAR FOR CONVERSION TO,Koyali-Manmad-Ahmednagar-Solapur Pipeline         (Indian Oil,Not reported,2021,2021-12-31,261.0,195.22,-29.235701622706813,-25.203065134099617,-4.032636488607196,147.27944805194807,364,-216.72055194805193,1,1
,ADDITIONAL FACILITIES AT MANMAD FOR COVERSION TO TOP ON,Petroleum,Not reported,2021,2021-12-31,212.0,177.58,-42.020973270807175,-16.23584905660377,-25.785124214203407,157.94109307359298,364,-206.05890692640702,1,1
,MULTI PRODUCT PIPELINE FROM BINA TERMINAL TO PANKI KANPUR,Top On Koyali-Manmad-Ahmednagar-Solapur Pipeli (Indian,Not reported,2021,2021-12-31,1524.06,1037.45,-25.883843963454265,-31.928532997388547,6.044689033934283,714.3556273776728,30,684.3556273776728,1,0
,CONSTRUCTION OF PAVED SHOULDERS IN KM.81/0 TO 203/0,Epc(Ministry Of Road Transport And Highways (State,Not reported,2015,2022-02-28,258.97,229.77,-19.116840539651545,-11.275437309340857,-7.8414032303106875,908.271975108225,2403,-1494.728024891775,1,1
,ELECTRIFICATION OF KHURJA-MEERUT-SAHARANPUR AND G'BAD-,Noapara-Nscb Airport(Mtp)                 (Metropolitan,Not reported,2012,2022-02-28,171.1,141.55,-7.705075233544139,-17.270601987142012,9.565526753597872,256.16020562770564,3651,-3394.8397943722944,1,1
,FOUR LANING FROM MPMAHARASHTRA BORDER TO NAGPUR IC,Epc(Ministry Of Road Transport And Highways (State,Not reported,2012,2022-02-28,1170.52,2051.36,-32.640902853996714,75.2520247411407,-107.89292759513742,698.1556547619047,3559,-2860.8443452380952,1,1
,"GWALIOR-JHANSI, NH-75",Road Transport And Highways,Not reported,2009,2022-02-28,604.0,360.15,8.89366109225361,-40.372516556291394,49.266177648545,1021.3426767676765,4472,-3450.6573232323235,1,1
,HOWRAH DIVISION- PLATFORM SHELTER (40 C CATEGORY,Udaipur                          (North Western Railway) -,Not reported,2018,2022-02-28,157.94,51.75,-36.25224311354408,-67.23439280739521,30.982149693851127,272.9340584415584,1215,-942.0659415584416,1,1
,"LILUAH-DANKUNI 3RD LINE, MM FOR DANKUNI-JONGALPARA-",Stations)                        (Eastern Railways) -,Not reported,2014,2022-02-28,257.42,109.66,-18.935793419141046,-57.400357392588,38.46456397344696,895.9561598124103,2921,-2025.0438401875897,1,1
,"MAVLI JUNCTION-BARI SADRI, MM OF AJMER- CHITTSURGARH-",Meerut                          (Railway Electrification) -,Not reported,2020,2022-02-28,420.18,387.54,-32.79720099538279,-7.768099385977435,-25.029101609405352,362.5011742424243,729,-366.4988257575757,1,1
,TOLLYGANJ-GARIA WITH EXTENSION TO DUM DUM-NOAPARA AND,Railways,Not reported,2006,2022-02-28,1049.69,3837.57,24.887365992144325,265.59079347235854,-240.7034274802142,1270.6603210678218,5568,-4297.339678932178,1,1
,TRANSMISSION SYSTEM STRENTHENNING IN INDIAN SYSTEM FOR,Flash Report,Not reported,2018,2022-02-28,808.63,690.89,-15.578682935269981,-14.560429368190645,-1.018253567079336,315.1544426406926,1519,-1203.8455573593073,1,1
,JAMMU-UDHAMPUR KM.27.5 TO KM.67.00,Road Transport And Highways,Not reported,2013,2022-03-31,1813.76,2656.47,-7.12307485499407,46.46204569513055,-53.58512055012462,352.2905483405484,3195,-2842.7094516594516,1,1
,"SETTING UP OF FACILITIES FOR PRODUCTION OF POLYOLS,",Petroleum,Not reported,2023,2022-03-31,11130.0,425.3,-6.439711149459657,-96.17879604672058,89.73908489726092,454.01717532467535,0,454.01717532467535,1,0
,4 LANING OF NAGPUR-BETUL,Road Transport And Highways,Not reported,2014,2022-04-30,2498.76,2531.46,-2.7789829468666185,1.3086490899486072,-4.087632036815226,829.9738947163946,2829,-1999.0261052836054,0,1
,CAPTIVE NATURAL GAS PIPELINE FROM DAHEJ TO KOYALI,Petroleum,Not reported,2021,2022-04-30,315.0,232.8,-25.413138732279144,-26.095238095238095,0.6820993629589509,200.77489177489176,150,50.774891774891756,1,1
,"CONSTRUCTION OF GRASS ROOT POL TERMINAL AT MOTIHARI,",Refinery                            (Indian Oil Corporation,Not reported,2021,2022-04-30,522.0,443.99,-29.14825104279326,-14.944444444444443,-14.203806598348816,339.9143181818182,425,-85.0856818181818,1,1
,NASHRI- CHANANI,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2015,2022-04-30,2159.0,4729.68,-13.954628563569134,119.06808707735064,-133.02271564091978,718.1011348357443,2525,-1806.8988651642558,0,1
,SETTING UP OF PHASE LL FACILITIES FOR HPCL GREEN R AND D,Bihar                           (Indian Oil Corporation Limited),Not reported,2021,2022-04-30,380.0,366.58,-30.105030251930586,-3.531578947368425,-26.573451304562163,310.51647727272734,180,130.51647727272734,1,1
,SYSTEM STRENGTHENING SCHEMES AT TUTICORIN-II (ERSTWHILE,Power,Not reported,2020,2022-04-30,496.11,322.28,-34.22847483835959,-35.038600310415035,0.8101254720554465,219.24306998557,698,-478.75693001443,1,1
,UPGRADATION OF NEW NATIONAL HIGHWAY NO 168 TO TWO LANE,Configuration And Geometric Improvement From,Not reported,2018,2022-05-31,464.07,319.88,-33.25796422728518,-31.07074363781326,-2.18722058947192,419.3973322510821,1307,-887.6026677489178,1,1
,WIDENING AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER,Highways And Infrastructure Development Corporation,Not reported,2018,2022-05-31,216.0,117.19,-59.183164469090116,-45.74537037037037,-13.437794098719749,90.89161255411256,1307,-1216.1083874458875,1,1
,BALANCE WORK OF 2-LANE WITH PAVED SHOULDER OF BHOPAL-,Road Transport And Highways,Not reported,2019,2022-06-30,227.49,193.99,-41.15198440944087,-14.725922018550266,-26.426062390890607,397.9176569264067,1276,-878.0823430735933,1,1
,DIFFERENT BUILDINGS UNDER PHASE 1 NORTH FOR IIT MANDI AT,Department Of Higher Education,Not reported,2014,2022-06-30,270.83,235.32,-11.897668050509727,-13.111545988258314,1.2138779377485864,965.7120797258298,2798,-1832.2879202741701,1,1
,NAGAUR-BIKANER SECTION FROM KM 177.00 TO KM 267.325 ON NH-,Shoulder From Jind-Gohana Road From Design Chain,Not reported,2022,2022-06-30,370.36,271.81,-31.399595574380125,-26.609245058861653,-4.7903505155184725,209.27317099567097,0,209.27317099567097,1,0
,AUGMENTATION OF PUMPING CAPACITY OF BARAUNI-BONGAIGAON,Petroleum,Not reported,2019,2022-08-31,571.66,511.0,-16.66683002759944,-10.61120246300248,-6.055627564596959,318.3190367965367,1004,-685.6809632034633,1,1
,STRENGTHENING OF CHURAIBARI - AGARTALA SECTION OF NH-08,Highways And Infrastructure Development Corporation,Not reported,2022,2022-08-31,257.96,122.81,-29.235701622706813,-52.39184369669716,23.156142073990345,141.89081168831171,242,-100.10918831168829,1,1
,2-LANE WITH PAVED SHOULDER WITH PROVISION OF CAPACITY,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2016,2022-11-30,530.07,558.12,-14.21034843576744,5.29175391929367,-19.50210235506111,742.025238095238,2312,-1569.974761904762,1,1
,4-LANNING OF PORBANDAR DWARKA SECTION IN THE STATE OF,Augmentation Of Rajasthan Border-Fatehpur-Sala Ppp,Not reported,2020,2022-11-30,1958.88,1116.85,-27.807217527585177,-42.985277301315044,15.178059773729867,474.2118452380952,912,-437.7881547619048,0,1
,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AND,Civil Aviation,Not reported,2019,2022-11-30,438.28,405.76,-32.04980437753255,-7.419914210094,-24.629890167438553,322.08186688311685,1278,-955.9181331168832,1,1
,QUAZIGUND-BANIHAL KM.220.00 TO KM.188.00,Road Transport And Highways,Not reported,2015,2022-11-30,1987.0,3116.66,-48.482684276441276,56.85254151987921,-105.33522579632049,543.8708292917718,2709,-2165.1291707082282,0,1
,2 LANNING OF MUZAFFARPUR - SONBARSA,Ennore Port Connectivity                 (National Highways,Not reported,2013,2022-12-31,511.54,576.99,15.27735525275324,12.794698361809436,2.4826568909438045,200.01735930735936,3347,-3146.9826406926404,1,1
,CONSTN. OF 4 LANING IN KM.99.00 TO 114.375 PACKAGE-V (EPC),Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2019,2022-12-31,247.25,195.15,-36.86082955759191,-21.07178968655207,-15.789039871039844,119.57076298701297,1401,-1281.429237012987,1,1
,DEVELOPMENT OF ADIQUATE ROAD CONNECTIVITY TO CHENNAI-,Road Transport And Highways,Not reported,2013,2022-12-31,600.0,338.04,14.0751461308046,-43.66,57.735146130804594,1041.111973304473,3500,-2458.888026695527,1,1
,KRISHNANAGAR-BERHAMPUR,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2014,2022-12-31,702.16,784.03,7.718055629484026,11.659735672781133,-3.941680043297107,970.3450983864623,3105,-2134.6549016135377,1,1
,SRINAGAR TO BANIHAL,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2014,2022-12-31,1100.7,2986.32,-13.424507411446221,171.31098391932406,-184.7354913307703,1066.0269696969694,3135,-2068.9730303030306,1,1
,"180 TMTPA NEW LPG PLANT AT PATALGANGA(DIST RAIGAD),",Koyali-Manmad-Ahmednagar-Solapur Pipeline (Indian Oil,Not reported,2020,2023-01-31,249.26,278.49,-31.452237118554784,11.726711064751672,-43.17894818330646,126.43006493506493,974,-847.5699350649351,1,1
,ADDITIONAL FACILITIES AT SOLAPUR FOR CONVERSION TO TOP ON,Its Extension Upto Patna And Muzaffarpur           (Indian Oil,Not reported,2021,2023-01-31,348.0,300.86,-30.865350474325734,-13.545977011494248,-17.319373462831486,167.8699134199134,760,-592.1300865800866,1,1
,AUGMENTATION OF MATHURA-TUNDLA PIPELINE AND ITS,Maharashtra                         (Hindustan Petroleum,Not reported,2022,2023-01-31,676.0,621.05,-17.40665100211941,-8.128698224852078,-9.277952777267332,321.82650974025967,183,138.82650974025967,1,1
,AUGMENTATION OF PARADIP-HALDIA-DURGAPUR LPG PIPELINE AND,Production Unit(Mops)                    (Oil & Natural Gas,Not reported,2021,2023-01-31,1823.0,2494.42,-28.655539994113873,36.83049917718048,-65.48603917129435,149.64356782106782,701,-551.3564321789322,0,1
,CONSTRUCTION OF ROAD APPROACHES TO RAIL-CUM-ROAD,Carriageway With Paved Shoulder Including Geo,Not reported,2020,2023-01-31,235.48,226.67,-36.2261949432554,-3.741294377441822,-32.484900565813575,125.23144480519478,1066,-940.7685551948052,1,1
,CONVERSION OF RIG SAGAR SAMRAT TO MOBILE OFFSHORE,Petroleum,Not reported,2013,2023-01-31,861.79,1681.69,12.056686338433249,95.13918704092646,-83.0825007024932,541.7084163059161,3562,-3020.291583694084,1,1
,REHABILITATION AND UP GRADATION OF EXISTING 2-LANE TO 4-,Bridge Across River Ganga At Munger Ghat Near Munge,Not reported,2021,2023-01-31,564.66,452.72,-23.550173150447144,-19.82431905925689,-3.7258540911902536,313.00888528138535,548,-234.99111471861465,1,1
,REHABILITATION SIX LANING UPGRADATION CHANDIKHOLE,Lane Standards To End Of Kamakhyanagar Bypas,Not reported,2021,2023-01-31,1522.0,636.05,-25.883843963454265,-58.2095926412615,32.32574867780724,714.3556273776728,609,105.35562737767282,1,1
,WIDENING AND STRENFTHENING OF EXISITNG SL IL TO 2 LANE,Road Transport And Highways,Not reported,2016,2023-01-31,191.5,183.94,-22.983398749683676,-3.947780678851176,-19.0356180708325,769.7415476190479,2466,-1696.2584523809521,1,1
,CREATING INFRASTRUCTURE AT GUJARAT REFINERY AND DUMAD,Petroleum,Not reported,2020,2023-02-28,906.0,453.07,-21.946552579517835,-49.992273730684325,28.04572115116649,232.70460317460325,1123,-890.2953968253968,1,1
,DEVELOPMENT OF SIX LANE EASTERN PERIPHERAL EXPRESSWAY (,Road Transport And Highways,Not reported,2018,2023-02-28,771.18,792.0,-12.962187332917846,2.6997588111724955,-15.661946144090342,445.58156926406923,1825,-1379.4184307359308,1,1
,KEROSENE HYDROTREATER (KHT) UNIT INTEGRATED WITH,For Koyali Ahmednagar Solapur Pipeline         (Indian Oil,Not reported,2023,2023-02-28,697.0,538.45,-16.352790426690987,-22.747489239598274,6.394698812907286,322.95650974025966,0,322.95650974025966,1,0
,REHABILITATION AND UPGRADING TO 2 LANE WITH PAVED,Epc Mode                         Epc(Ministry Of Road,Not reported,2016,2023-02-28,171.96,108.0,-26.61854882303956,-37.1946964410328,10.576147617993236,627.1055032467533,2463,-1835.8944967532466,1,1
,WIDNG WITH PS AND STRNG FROM KM.0.00 TO 50.675 OF NH-730A,Pkg-I)                         (National Highways Authority Of,Not reported,2015,2023-02-28,164.54,141.33,-24.01823853372303,-14.105992463838568,-9.91224606988446,528.1959054834053,2768,-2239.804094516595,1,1
,FOUR LANING OF TRICHY TO KALLAGAM SECTION ON NH-227 IN THE,Road Transport And Highways,Not reported,2021,2023-03-31,1166.26,444.08,-31.612278083648683,-61.92272735067653,30.31044926702785,348.8449242424244,788,-439.1550757575756,1,1
,ETHANOL PRODUCTION FROM PSA OFF GAS BASED ON LANZATECH,Facilities At Baitalpur Depot For                (Indian Oil,Not reported,2020,2023-04-30,598.0,679.2,-19.935805177011414,13.57859531772576,-33.514400494737174,301.7224458874459,1184,-882.2775541125541,1,1
,REVAMPING OF EXISTING FACILITIES/ AUGMENTATION OF,Petroleum,Not reported,2021,2023-04-30,318.8,224.25,-25.456457382616836,-29.65809284818068,4.201635465563843,201.51504329004328,637,-435.4849567099567,1,1
,KAILASHAHAR TO KHOWAI PKG-2,Highways And Infrastructure Development Corporation,Not reported,2022,2023-05-31,206.78,197.72,-42.861017793242596,-4.3814682271012675,-38.47954956614133,130.51967532467532,334,-203.48032467532468,1,1
,DOUBLING OF TRACK BETWEEN GOOTY AND DHARMAVARAM OF,Railways,Not reported,2021,2023-06-30,636.38,1081.75,16.12765620356858,69.98491467362268,-53.857258470054106,1097.9523881673883,851,246.95238816738834,1,1
,CONSTRUCTION OF A NEW 2-LANE HIGHWAY FROM KM 0.00 (ON NH-,Rate(Ministry Of Road Transport And Highways (State,Not reported,2010,2023-08-31,195.04,415.11,0.8652593778170191,112.83326497128796,-111.96800559347093,1329.693344155845,4717,-3387.306655844155,1,1
,REHABILITATION AND UPGRADATION TO 2-LANE WITH PAVED,Rate(Ministry Of Road Transport And Highways (State,Not reported,2019,2023-08-31,396.86,325.22,-34.33891891967479,-18.05170589124628,-16.28721302842851,854.4975378787881,1460,-605.5024621212119,1,1
,WIDENING TO 2LPS FROM 173/37 TO 229/40 OF NH-59 IN THE STATE,To Boudh) In The State Of Odisha        (Ministry Of Road,Not reported,2018,2023-08-31,214.23,179.48,-59.183164469090116,-16.220884096531766,-42.962280372558354,99.38533549783548,1856,-1756.6146645021645,1,1
,WIDENING TO 2LPS FROM 58/00 TO 116/10 OF NH-153B (NAKTIDEUL,Shoulder Configuration Of Nandakumar-Contai-Chan,Not reported,2018,2023-08-31,206.88,123.5,-55.455908752258075,-40.30355761794277,-15.152351134315303,111.10109307359308,1978,-1866.8989069264069,1,1
,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (1A,Flexible Pavement On Khalghat To Sarwardewla Road,Not reported,2022,2023-09-30,167.95,84.16,-42.866702806030084,-49.889848169097945,7.0231453630678615,165.30867965367966,486,-320.69132034632037,1,1
,CONSTRUCTION TO TWO LANE WITH PAVED SHOULDERS WITH,Bot (Toll)(Ministry Of Road Transport And Highways (State,Not reported,2021,2023-09-30,264.5,215.21,-29.047523684590065,-18.635160680529296,-10.412363004060769,144.8083982683983,943,-798.1916017316017,1,1
,MANGAWA-MP/UP BORDER SECTION OF NH-27 (4L) IN MP,Road Transport And Highways,Not reported,2015,2023-09-30,410.72,392.45,-14.759013128879257,-4.448285936891322,-10.310727191987935,1088.2340638528135,3104,-2015.7659361471865,1,1
,2-LANING FROM MANU-SIMLUNG ( PKG III),Madhapur) In The State Of Odisha            (Ministry Of Road,Not reported,2022,2023-11-30,347.36,224.48,-31.194947709452933,-35.37540304007371,4.180455330620774,167.8699134199134,698,-530.1300865800866,1,1
,DABOKA KATHKATI PACKAGE-2,Epc(National Highways And Infrastructure Development,Not reported,2024,2023-11-30,335.88,220.39,-35.447984225727886,-34.38430391806598,-1.0636803076619046,136.53733766233762,0,136.53733766233762,1,0
,DABOKA KATHKATI PACKAGE-4,Epc(National Highways And Infrastructure Development,Not reported,2023,2023-11-30,260.07,290.49,-29.235701622706813,11.696850847848662,-40.93255247055548,147.27944805194807,0,147.27944805194807,1,1
,KAILASHAHAR TO KHOWAI PKG-3,Epc(National Highways And Infrastructure Development,Not reported,2022,2023-11-30,280.91,202.06,-26.62412007791512,-28.069488448257456,1.4453683703423366,145.64885281385284,517,-371.35114718614716,1,1
,KAILASHAHAR TO KHOWAI PKG-5,Epc(National Highways And Infrastructure Development,Not reported,2022,2023-11-30,332.14,148.07,-34.02282237457022,-55.419401457216836,21.396579082646618,141.0021861471861,517,-375.9978138528139,1,1
,KHELLANI-KHANABAL PKG-6,Epc(National Highways And Infrastructure Development,Not reported,2022,2023-11-30,285.28,218.89,-26.62412007791512,-23.271873247335947,-3.3522468305791726,145.8435497835498,455,-309.1564502164502,1,1
,WIDENING TO 2LPS FROM 50/0 TO 140/9 OF NH-57 (SONEPUR TO,Highways And Infrastructure Development Corporation,Not reported,2017,2023-11-30,295.67,242.48,-1.9797059606102112,-17.9896506240065,16.00994466339629,468.15496392496397,2493,-2024.845036075036,1,1
,DEVELOPMENT OF NELP BLOCK KG-ONN-2003/1 NAGAYALANKA,Petroleum,Not reported,2023,2023-12-31,284.79,258.16,-23.766067981069884,-9.350749675199268,-14.415318305870617,197.68928571428566,213,-15.31071428571434,1,1
,BALANCE WORK UNDER PHASE-I FOR 4L OF KHED SINNER SECTION,Epc(National Highways And Infrastructure Development,Not reported,2022,2024-02-29,169.83,207.89,-45.863138255256324,22.410645940057687,-68.27378419531401,181.35716450216444,516,-334.64283549783556,1,1
,CATALYST MANUFACTURING UNIT OF 1500 MTPA CAPACITY AT,Petroleum,Not reported,2020,2024-02-29,206.63,284.95,-38.405177506499165,37.90349900788849,-76.30867651438766,179.0386688311687,1489,-1309.9613311688313,1,1
,CONST OF 152 QTRS 240 BOYS 240 GIRLS 150 NURSES HOSTEL,Health And Family Welfare,Not reported,2020,2024-02-29,195.0,179.67,-45.249057434404456,-7.861538461538468,-37.38751897286599,135.2064935064935,1276,-1140.7935064935066,1,1
